uf,codmun,cidade,pop_tcu_2016,pop_dou_2017,tcg_2016_2017,remanej_limitesmunicip,regiao
AM,1300300,AUTAZES,37752,38454,1.86%,NÃO,Norte
AM,1300409,BARCELOS,27589,27743,0.56%,NÃO,Norte
AM,1300508,BARREIRINHA,31105,31542,1.40%,NÃO,Norte
AM,1300607,BENJAMIN CONSTANT,40417,41329,2.26%,NÃO,Norte
AM,1300631,BERURI,18579,18978,2.15%,NÃO,Norte
AM,1300680,BOA VISTA DO RAMOS,18080,18483,2.23%,NÃO,Norte
AM,1300706,BOCA DO ACRE,33840,34176,0.99%,NÃO,Norte
AM,1300805,BORBA,39885,40464,1.45%,NÃO,Norte
AM,1300839,CAAPIRANGA,12622,12820,1.57%,NÃO,Norte
AM,1300904,CANUTAMA,15312,15490,1.16%,NÃO,Norte
AM,1301001,CARAUARI,28111,28337,0.80%,NÃO,Norte
AM,1301100,CAREIRO,36922,37399,1.29%,NÃO,Norte
AM,1301159,CAREIRO DA VÁRZEA,28592,29190,2.09%,NÃO,Norte
AM,1301209,COARI,83929,84762,0.99%,NÃO,Norte
AM,1301308,CODAJÁS,27303,27817,1.88%,NÃO,Norte
AM,1301407,EIRUNEPÉ,34461,34888,1.24%,NÃO,Norte
AM,1301506,ENVIRA,19143,19492,1.82%,NÃO,Norte
AM,1301605,FONTE BOA,20199,19669,-2.62%,NÃO,Norte
AM,1301654,GUAJARÁ,16085,16339,1.58%,NÃO,Norte
AM,1301704,HUMAITÁ,52354,53383,1.97%,NÃO,Norte
AM,1301803,IPIXUNA,27587,28299,2.58%,NÃO,Norte
AM,1301852,IRANDUBA,46703,47407,1.51%,NÃO,Norte
AM,1301902,ITACOATIARA,98503,99854,1.37%,NÃO,Norte
AM,1301951,ITAMARATI,8153,8128,-0.31%,NÃO,Norte
AM,1302009,ITAPIRANGA,9040,9125,0.94%,NÃO,Norte
AM,1302108,JAPURÁ,4660,4205,-9.76%,NÃO,Norte
AM,1302207,JURUÁ,13581,13956,2.76%,NÃO,Norte
AM,1302306,JUTAÍ,16200,15824,-2.32%,NÃO,Norte
AM,1302405,LÁBREA,44071,44861,1.79%,NÃO,Norte
AM,1302504,MANACAPURU,95330,96460,1.19%,NÃO,Norte
AM,1302553,MANAQUIRI,29327,30222,3.05%,NÃO,Norte
AM,1302603,MANAUS,2094391,2130264,1.71%,NÃO,Norte
AM,1302702,MANICORÉ,53890,54708,1.52%,NÃO,Norte
AM,1302801,MARAÃ,18477,18531,0.29%,NÃO,Norte
AM,1302900,MAUÉS,61110,62212,1.80%,NÃO,Norte
AM,1303007,NHAMUNDÁ,20633,20902,1.30%,NÃO,Norte
AM,1303106,NOVA OLINDA DO NORTE,35800,36431,1.76%,NÃO,Norte
AM,1303205,NOVO AIRÃO,18133,18586,2.50%,NÃO,Norte
AM,1303304,NOVO ARIPUANÃ,24718,25112,1.59%,NÃO,Norte
AM,1303403,PARINTINS,112716,113832,0.99%,NÃO,Norte
AM,1303502,PAUINI,19488,19597,0.56%,NÃO,Norte
AM,1303536,PRESIDENTE FIGUEIREDO,33703,34574,2.58%,NÃO,Norte
AM,1303569,RIO PRETO DA EVA,31274,32001,2.32%,NÃO,Norte
AM,1303601,SANTA ISABEL DO RIO NEGRO,23092,23765,2.91%,NÃO,Norte
AM,1303700,SANTO ANTÔNIO DO IÇÁ,23378,23075,-1.30%,NÃO,Norte
AM,1303809,SÃO GABRIEL DA CACHOEIRA,43831,44553,1.65%,NÃO,Norte
AM,1303908,SÃO PAULO DE OLIVENÇA,37300,38047,2.00%,NÃO,Norte
AM,1303957,SÃO SEBASTIÃO DO UATUMÃ,13105,13421,2.41%,NÃO,Norte
AM,1304005,SILVES,9147,9211,0.70%,NÃO,Norte
AM,1304062,TABATINGA,62346,63635,2.07%,NÃO,Norte
AM,1304104,TAPAUÁ,18039,17930,-0.60%,NÃO,Norte
AM,1304203,TEFÉ,62230,62021,-0.34%,NÃO,Norte
AM,1304237,TONANTINS,18632,18782,0.81%,NÃO,Norte
AM,1304260,UARINI,13276,13428,1.14%,NÃO,Norte
AM,1304302,URUCARÁ,17065,16968,-0.57%,NÃO,Norte
AM,1304401,URUCURITUBA,21650,22148,2.30%,NÃO,Norte
RR,1400027,AMAJARI,11285,11560,2.44%,NÃO,Norte
RR,1400050,ALTO ALEGRE,16053,15933,-0.75%,NÃO,Norte
RR,1400100,BOA VISTA,326419,332020,1.72%,NÃO,Norte
RR,1400159,BONFIM,11843,11945,0.86%,NÃO,Norte
RR,1400175,CANTÁ,16516,16877,2.19%,NÃO,Norte
RR,1400209,CARACARAÍ,20537,20807,1.31%,NÃO,Norte
RR,1400233,CAROEBE,9331,9493,1.74%,NÃO,Norte
RR,1400282,IRACEMA,10592,10859,2.52%,NÃO,Norte
RR,1400308,MUCAJAÍ,16618,16852,1.41%,NÃO,Norte
RR,1400407,NORMANDIA,10339,10527,1.82%,NÃO,Norte
RR,1400456,PACARAIMA,12144,12375,1.90%,NÃO,Norte
RR,1400472,RORAINÓPOLIS,27756,28215,1.65%,NÃO,Norte
RR,1400506,SÃO JOÃO DA BALIZA,7629,7740,1.45%,NÃO,Norte
RR,1400605,SÃO LUIZ,7503,7597,1.25%,NÃO,Norte
RR,1400704,UIRAMUTÃ,9664,9836,1.78%,NÃO,Norte
PA,1500107,ABAETETUBA,151934,153380,0.95%,NÃO,Norte
PA,1500131,ABEL FIGUEIREDO,7179,7231,0.72%,NÃO,Norte
PA,1500206,ACARÁ,54080,54096,0.03%,NÃO,Norte
PA,1500305,AFUÁ,37778,38144,0.97%,NÃO,Norte
PA,1500347,ÁGUA AZUL DO NORTE,26497,26682,0.70%,NÃO,Norte
PA,1500404,ALENQUER,54960,55246,0.52%,NÃO,Norte
PA,1500503,ALMEIRIM,33282,33195,-0.26%,NÃO,Norte
PA,1500602,ALTAMIRA,109938,111435,1.36%,NÃO,Norte
PA,1500701,ANAJÁS,28012,28466,1.62%,NÃO,Norte
PA,1500800,ANANINDEUA,510834,516057,1.02%,NÃO,Norte
PA,1500859,ANAPU,26271,27096,3.14%,NÃO,Norte
PA,1500909,AUGUSTO CORRÊA,44227,44734,1.15%,NÃO,Norte
PA,1500958,AURORA DO PARÁ,29991,30471,1.60%,NÃO,Norte
PA,1501006,AVEIRO,15950,15947,-0.02%,NÃO,Norte
PA,1501105,BAGRE,29065,29808,2.56%,NÃO,Norte
PA,1501204,BAIÃO,44956,46110,2.57%,NÃO,Norte
PA,1501253,BANNACH,3233,3200,-1.02%,NÃO,Norte
PA,1501303,BARCARENA,118537,121190,2.24%,NÃO,Norte
PA,1501402,BELÉM,1446042,1452275,0.43%,NÃO,Norte
PA,1501451,BELTERRA,17145,17249,0.61%,NÃO,Norte
PA,1501501,BENEVIDES,59836,60990,1.93%,NÃO,Norte
PA,1501576,BOM JESUS DO TOCANTINS,16375,16517,0.87%,NÃO,Norte
PA,1501600,BONITO,15563,15834,1.74%,NÃO,Norte
PA,1501709,BRAGANÇA,122881,124184,1.06%,NÃO,Norte
PA,1501725,BRASIL NOVO,14834,14689,-0.98%,NÃO,Norte
PA,1501758,BREJO GRANDE DO ARAGUAIA,7206,7182,-0.33%,NÃO,Norte
PA,1501782,BREU BRANCO,62737,64194,2.32%,NÃO,Norte
PA,1501808,BREVES,99080,99896,0.82%,NÃO,Norte
PA,1501907,BUJARU,28016,28331,1.12%,NÃO,Norte
