uf,codmun,cidade,pop_tcu_2016,pop_dou_2017,tcg_2016_2017,remanej_limitesmunicip,regiao
CE,2309805,PACOTI,11936,11960,0.20%,NÃO,Nordeste
CE,2309904,PACUJÁ,6186,6202,0.26%,NÃO,Nordeste
CE,2310001,PALHANO,9248,9285,0.40%,NÃO,Nordeste
CE,2310100,PALMÁCIA,13022,13145,0.94%,NÃO,Nordeste
CE,2310209,PARACURU,33665,33894,0.68%,NÃO,Nordeste
CE,2310258,PARAIPABA,32256,32515,0.80%,NÃO,Nordeste
CE,2310308,PARAMBU,31213,31137,-0.24%,NÃO,Nordeste
CE,2310407,PARAMOTI,11564,11578,0.12%,NÃO,Nordeste
CE,2310506,PEDRA BRANCA,42795,42841,0.11%,NÃO,Nordeste
CE,2310605,PENAFORTE,8888,8956,0.77%,NÃO,Nordeste
CE,2310704,PENTECOSTE,36928,37077,0.40%,NÃO,Nordeste
CE,2310803,PEREIRO,16139,16163,0.15%,NÃO,Nordeste
CE,2310852,PINDORETAMA,20430,20644,1.05%,NÃO,Nordeste
CE,2310902,PIQUET CARNEIRO,16599,16731,0.80%,NÃO,Nordeste
CE,2310951,PIRES FERREIRA,10730,10784,0.50%,NÃO,Nordeste
CE,2311009,PORANGA,12234,12243,0.07%,NÃO,Nordeste
CE,2311108,PORTEIRAS,14965,14921,-0.29%,NÃO,Nordeste
CE,2311207,POTENGI,10856,10918,0.57%,NÃO,Nordeste
CE,2311231,POTIRETAMA,6337,6356,0.30%,NÃO,Nordeste
CE,2311264,QUITERIANÓPOLIS,20777,20860,0.40%,NÃO,Nordeste
CE,2311306,QUIXADÁ,85991,86605,0.71%,NÃO,Nordeste
CE,2311355,QUIXELÔ,14903,14860,-0.29%,NÃO,Nordeste
CE,2311405,QUIXERAMOBIM,77931,78658,0.93%,NÃO,Nordeste
CE,2311504,QUIXERÉ,21728,21876,0.68%,NÃO,Nordeste
CE,2311603,REDENÇÃO,27358,27441,0.30%,NÃO,Nordeste
CE,2311702,RERIUTABA,18889,18769,-0.64%,NÃO,Nordeste
CE,2311801,RUSSAS,75762,76475,0.94%,NÃO,Nordeste
CE,2311900,SABOEIRO,15715,15678,-0.24%,NÃO,Nordeste
CE,2311959,SALITRE,16248,16331,0.51%,NÃO,Nordeste
CE,2312007,SANTANA DO ACARAÚ,31814,32023,0.66%,NÃO,Nordeste
CE,2312106,SANTANA DO CARIRI,17479,17489,0.06%,NÃO,Nordeste
CE,2312205,SANTA QUITÉRIA,43359,43360,0.00%,NÃO,Nordeste
CE,2312304,SÃO BENEDITO,46414,46648,0.50%,NÃO,Nordeste
CE,2312403,SÃO GONÇALO DO AMARANTE,47791,48265,0.99%,NÃO,Nordeste
CE,2312502,SÃO JOÃO DO JAGUARIBE,7670,7621,-0.64%,NÃO,Nordeste
CE,2312601,SÃO LUÍS DO CURU,12805,12849,0.34%,NÃO,Nordeste
CE,2312700,SENADOR POMPEU,26496,26447,-0.18%,NÃO,Nordeste
CE,2312809,SENADOR SÁ,7442,7513,0.95%,NÃO,Nordeste
CE,2312908,SOBRAL,203682,205529,0.91%,NÃO,Nordeste
CE,2313005,SOLONÓPOLE,18127,18158,0.17%,NÃO,Nordeste
CE,2313104,TABULEIRO DO NORTE,30378,30489,0.37%,NÃO,Nordeste
CE,2313203,TAMBORIL,25560,25525,-0.14%,NÃO,Nordeste
CE,2313252,TARRAFAS,8875,8852,-0.26%,NÃO,Nordeste
CE,2313302,TAUÁ,57914,58119,0.35%,NÃO,Nordeste
CE,2313351,TEJUÇUOCA,18709,18902,1.03%,NÃO,Nordeste
CE,2313401,TIANGUÁ,74107,74719,0.83%,NÃO,Nordeste
CE,2313500,TRAIRI,54820,55207,0.71%,NÃO,Nordeste
CE,2313559,TURURU,15768,15935,1.06%,NÃO,Nordeste
CE,2313609,UBAJARA,34068,34332,0.77%,NÃO,Nordeste
CE,2313708,UMARI,7668,7671,0.04%,NÃO,Nordeste
CE,2313757,UMIRIM,19602,19679,0.39%,NÃO,Nordeste
CE,2313807,URUBURETAMA,21411,21609,0.92%,NÃO,Nordeste
CE,2313906,URUOCA,13600,13677,0.57%,NÃO,Nordeste
CE,2313955,VARJOTA,18188,18239,0.28%,NÃO,Nordeste
CE,2314003,VÁRZEA ALEGRE,40255,40440,0.46%,NÃO,Nordeste
CE,2314102,VIÇOSA DO CEARÁ,59487,60030,0.91%,NÃO,Nordeste
RN,2400109,ACARI,11338,11333,-0.04%,NÃO,Nordeste
RN,2400208,AÇU,57743,58183,0.76%,NÃO,Nordeste
RN,2400307,AFONSO BEZERRA,11207,11211,0.04%,NÃO,Nordeste
RN,2400406,ÁGUA NOVA,3235,3260,0.77%,NÃO,Nordeste
RN,2400505,ALEXANDRIA,13839,13827,-0.09%,NÃO,Nordeste
RN,2400604,ALMINO AFONSO,4876,4854,-0.45%,NÃO,Nordeste
RN,2400703,ALTO DO RODRIGUES,14143,14365,1.57%,NÃO,Nordeste
RN,2400802,ANGICOS,11908,11909,0.01%,NÃO,Nordeste
RN,2400901,ANTÔNIO MARTINS,7221,7237,0.22%,NÃO,Nordeste
RN,2401008,APODI,36257,36323,0.18%,NÃO,Nordeste
RN,2401107,AREIA BRANCA,27176,27401,0.83%,NÃO,Nordeste
RN,2401206,ARÊS,14176,14307,0.92%,NÃO,Nordeste
RN,2401305,AUGUSTO SEVERO,9742,9768,0.27%,NÃO,Nordeste
RN,2401404,BAÍA FORMOSA,9247,9309,0.67%,NÃO,Nordeste
RN,2401453,BARAÚNA,27667,28085,1.51%,NÃO,Nordeste
RN,2401503,BARCELONA,4065,4064,-0.02%,NÃO,Nordeste
RN,2401602,BENTO FERNANDES,5493,5527,0.62%,NÃO,Nordeste
RN,2401651,BODÓ,2332,2307,-1.07%,NÃO,Nordeste
RN,2401701,BOM JESUS,10185,10254,0.68%,NÃO,Nordeste
RN,2401800,BREJINHO,12616,12720,0.82%,NÃO,Nordeste
RN,2401859,CAIÇARA DO NORTE,6606,6624,0.27%,NÃO,Nordeste
RN,2401909,CAIÇARA DO RIO DO VENTO,3645,3680,0.96%,NÃO,Nordeste
RN,2402006,CAICÓ,67747,68222,0.70%,NÃO,Nordeste
RN,2402105,CAMPO REDONDO,11156,11244,0.79%,NÃO,Nordeste
RN,2402204,CANGUARETAMA,33949,34267,0.94%,NÃO,Nordeste
RN,2402303,CARAÚBAS,20636,20707,0.34%,NÃO,Nordeste
RN,2402402,CARNAÚBA DOS DANTAS,8117,8188,0.87%,NÃO,Nordeste
RN,2402501,CARNAUBAIS,10592,10715,1.16%,NÃO,Nordeste
RN,2402600,CEARÁ-MIRIM,73370,73849,0.65%,NÃO,Nordeste
RN,2402709,CERRO CORÁ,11331,11344,0.11%,NÃO,Nordeste
RN,2402808,CORONEL EZEQUIEL,5590,5593,0.05%,NÃO,Nordeste
RN,2402907,CORONEL JOÃO PESSOA,4972,4980,0.16%,NÃO,Nordeste
RN,2403004,CRUZETA,8155,8147,-0.10%,NÃO,Nordeste
RN,2403103,CURRAIS NOVOS,45060,45228,0.37%,NÃO,Nordeste
RN,2403202,DOUTOR SEVERIANO,7187,7190,0.04%,NÃO,Nordeste
RN,2403251,PARNAMIRIM,248623,254709,2.45%,NÃO,Nordeste
RN,2403301,ENCANTO,5630,5666,0.64%,NÃO,Nordeste
RN,2403400,EQUADOR,6103,6119,0.26%,NÃO,Nordeste
RN,2403509,ESPÍRITO SANTO,10714,10702,-0.11%,NÃO,Nordeste
RN,2403608,EXTREMOZ,27933,28331,1.42%,NÃO,Nordeste
RN,2403707,FELIPE GUERRA,6033,6052,0.31%,NÃO,Nordeste
RN,2403756,FERNANDO PEDROZA,3055,3072,0.56%,NÃO,Nordeste
RN,2403806,FLORÂNIA,9258,9262,0.04%,NÃO,Nordeste
RN,2403905,FRANCISCO DANTAS,2899,2890,-0.31%,NÃO,Nordeste
RN,2404002,FRUTUOSO GOMES,4204,4180,-0.57%,NÃO,Nordeste
RN,2404101,GALINHOS,2650,2715,2.45%,NÃO,Nordeste
RN,2404200,GOIANINHA,25685,26068,1.49%,NÃO,Nordeste
RN,2404309,GOVERNADOR DIX-SEPT ROSADO,13103,13157,0.41%,NÃO,Nordeste
RN,2404408,GROSSOS,10293,10386,0.90%,NÃO,Nordeste
RN,2404507,GUAMARÉ,14975,15309,2.23%,NÃO,Nordeste
RN,2404606,IELMO MARINHO,13559,13714,1.14%,NÃO,Nordeste
RN,2404705,IPANGUAÇU,15308,15464,1.02%,NÃO,Nordeste
RN,2404804,IPUEIRA,2236,2251,0.67%,NÃO,Nordeste
RN,2404853,ITAJÁ,7515,7571,0.75%,NÃO,Nordeste
RN,2404903,ITAÚ,5904,5930,0.44%,NÃO,Nordeste
RN,2405009,JAÇANÃ,8949,9068,1.33%,NÃO,Nordeste
RN,2405108,JANDAÍRA,6920,6942,0.32%,NÃO,Nordeste
RN,2405207,JANDUÍS,5402,5386,-0.30%,NÃO,Nordeste
RN,2405306,JANUÁRIO CICCO,9989,10096,1.07%,NÃO,Nordeste
RN,2405405,JAPI,5306,5247,-1.11%,NÃO,Nordeste
RN,2405504,JARDIM DE ANGICOS,2666,2663,-0.11%,NÃO,Nordeste
RN,2405603,JARDIM DE PIRANHAS,14734,14858,0.84%,NÃO,Nordeste
RN,2405702,JARDIM DO SERIDÓ,12566,12579,0.10%,NÃO,Nordeste
RN,2405801,JOÃO CÂMARA,34839,35087,0.71%,NÃO,Nordeste
RN,2405900,JOÃO DIAS,2693,2695,0.07%,NÃO,Nordeste
RN,2406007,JOSÉ DA PENHA,6050,6050,0.00%,NÃO,Nordeste
RN,2406106,JUCURUTU,18490,18530,0.22%,NÃO,Nordeste
RN,2406155,JUNDIÁ,3881,3910,0.75%,NÃO,Nordeste
RN,2406205,LAGOA D'ANTA,6743,6793,0.74%,NÃO,Nordeste
RN,2406304,LAGOA DE PEDRAS,7529,7579,0.66%,NÃO,Nordeste
RN,2406403,LAGOA DE VELHOS,2768,2771,0.11%,NÃO,Nordeste
RN,2406502,LAGOA NOVA,15434,15590,1.01%,NÃO,Nordeste
RN,2406601,LAGOA SALGADA,8206,8269,0.77%,NÃO,Nordeste
RN,2406700,LAJES,11234,11316,0.73%,NÃO,Nordeste
RN,2406809,LAJES PINTADAS,4813,4822,0.19%,NÃO,Nordeste
RN,2406908,LUCRÉCIA,3968,4002,0.86%,NÃO,Nordeste
RN,2407005,LUÍS GOMES,10171,10211,0.39%,NÃO,Nordeste
RN,2407104,MACAÍBA,79211,80031,1.04%,SIM,Nordeste
RN,2407203,MACAU,31592,31859,0.85%,NÃO,Nordeste
RN,2407252,MAJOR SALES,3955,4002,1.19%,NÃO,Nordeste
RN,2407302,MARCELINO VIEIRA,8495,8492,-0.04%,NÃO,Nordeste
RN,2407401,MARTINS,8750,8793,0.49%,NÃO,Nordeste
RN,2407500,MAXARANGUAPE,12030,12223,1.60%,NÃO,Nordeste
RN,2407609,MESSIAS TARGINO,4569,4608,0.85%,NÃO,Nordeste
RN,2407708,MONTANHAS,11537,11503,-0.29%,NÃO,Nordeste
RN,2407807,MONTE ALEGRE,22311,22462,0.68%,NÃO,Nordeste
RN,2407906,MONTE DAS GAMELEIRAS,2198,2178,-0.91%,NÃO,Nordeste
RN,2408003,MOSSORÓ,291937,295619,1.26%,NÃO,Nordeste
RN,2408102,NATAL,877662,885180,0.86%,NÃO,Nordeste
RN,2408201,NÍSIA FLORESTA,26994,27372,1.40%,NÃO,Nordeste
RN,2408300,NOVA CRUZ,37547,37695,0.39%,NÃO,Nordeste
RN,2408409,OLHO-D'ÁGUA DO BORGES,4359,4349,-0.23%,NÃO,Nordeste
RN,2408508,OURO BRANCO,4877,4882,0.10%,NÃO,Nordeste
RN,2408607,PARANÁ,4249,4276,0.64%,NÃO,Nordeste
RN,2408706,PARAÚ,3875,3859,-0.41%,NÃO,Nordeste
RN,2408805,PARAZINHO,5215,5258,0.82%,NÃO,Nordeste
RN,2408904,PARELHAS,21577,21669,0.43%,NÃO,Nordeste
RN,2408953,RIO DO FOGO,10830,10901,0.66%,NÃO,Nordeste
RN,2409100,PASSA E FICA,12880,13099,1.70%,NÃO,Nordeste
RN,2409209,PASSAGEM,3092,3109,0.55%,NÃO,Nordeste
RN,2409308,PATU,12776,12844,0.53%,NÃO,Nordeste
RN,2409332,SANTA MARIA,5422,5500,1.44%,NÃO,Nordeste
RN,2409407,PAU DOS FERROS,30206,30452,0.81%,NÃO,Nordeste
RN,2409506,PEDRA GRANDE,3392,3356,-1.06%,NÃO,Nordeste
RN,2409605,PEDRA PRETA,2550,2532,-0.71%,NÃO,Nordeste
RN,2409704,PEDRO AVELINO,6998,6938,-0.86%,NÃO,Nordeste
RN,2409803,PEDRO VELHO,14900,14954,0.36%,NÃO,Nordeste
RN,2409902,PENDÊNCIAS,14919,15083,1.10%,NÃO,Nordeste
RN,2410009,PILÕES,3799,3836,0.97%,NÃO,Nordeste
RN,2410108,POÇO BRANCO,15280,15418,0.90%,NÃO,Nordeste
RN,2410207,PORTALEGRE,7861,7909,0.61%,NÃO,Nordeste
RN,2410256,PORTO DO MANGUE,6691,6789,1.46%,NÃO,Nordeste
RN,2410306,SERRA CAIADA,9958,10099,1.42%,NÃO,Nordeste
RN,2410405,PUREZA,9451,9568,1.24%,NÃO,Nordeste
RN,2410504,RAFAEL FERNANDES,5078,5115,0.73%,NÃO,Nordeste
RN,2410603,RAFAEL GODEIRO,3224,3234,0.31%,NÃO,Nordeste
RN,2410702,RIACHO DA CRUZ,3526,3566,1.13%,NÃO,Nordeste
RN,2410801,RIACHO DE SANTANA,4278,4277,-0.02%,NÃO,Nordeste
RN,2410900,RIACHUELO,7970,8075,1.32%,NÃO,Nordeste
RN,2411007,RODOLFO FERNANDES,4546,4545,-0.02%,NÃO,Nordeste
RN,2411056,TIBAU,4060,4100,0.99%,NÃO,Nordeste
RN,2411106,RUY BARBOSA,3673,3669,-0.11%,NÃO,Nordeste
RN,2411205,SANTA CRUZ,39300,39667,0.93%,NÃO,Nordeste
RN,2411403,SANTANA DO MATOS,13445,13289,-1.16%,NÃO,Nordeste
RN,2411429,SANTANA DO SERIDÓ,2688,2701,0.48%,NÃO,Nordeste
RN,2411502,SANTO ANTÔNIO,24045,24220,0.73%,NÃO,Nordeste
RN,2411601,SÃO BENTO DO NORTE,2875,2846,-1.01%,NÃO,Nordeste
RN,2411700,SÃO BENTO DO TRAIRÍ,4372,4425,1.21%,NÃO,Nordeste
RN,2411809,SÃO FERNANDO,3603,3617,0.39%,NÃO,Nordeste
RN,2411908,SÃO FRANCISCO DO OESTE,4206,4238,0.76%,NÃO,Nordeste
RN,2412005,SÃO GONÇALO DO AMARANTE,99724,101492,1.77%,SIM,Nordeste
RN,2412104,SÃO JOÃO DO SABUGI,6240,6260,0.32%,NÃO,Nordeste
RN,2412203,SÃO JOSÉ DE MIPIBU,43598,43995,0.91%,NÃO,Nordeste
RN,2412302,SÃO JOSÉ DO CAMPESTRE,12971,13007,0.28%,NÃO,Nordeste
RN,2412401,SÃO JOSÉ DO SERIDÓ,4605,4643,0.83%,NÃO,Nordeste
RN,2412500,SÃO MIGUEL,23444,23610,0.71%,NÃO,Nordeste
RN,2412559,SÃO MIGUEL DO GOSTOSO,9518,9606,0.92%,NÃO,Nordeste
RN,2412609,SÃO PAULO DO POTENGI,17407,17572,0.95%,NÃO,Nordeste
RN,2412708,SÃO PEDRO,6177,6139,-0.62%,NÃO,Nordeste
RN,2412807,SÃO RAFAEL,8345,8343,-0.02%,NÃO,Nordeste
RN,2412906,SÃO TOMÉ,11214,11223,0.08%,NÃO,Nordeste
RN,2413003,SÃO VICENTE,6435,6469,0.53%,NÃO,Nordeste
RN,2413102,SENADOR ELÓI DE SOUZA,6138,6188,0.81%,NÃO,Nordeste
RN,2413201,SENADOR GEORGINO AVELINO,4373,4423,1.14%,NÃO,Nordeste
RN,2413300,SERRA DE SÃO BENTO,5877,5870,-0.12%,NÃO,Nordeste
RN,2413359,SERRA DO MEL,11675,11838,1.40%,NÃO,Nordeste
RN,2413409,SERRA NEGRA DO NORTE,8152,8175,0.28%,NÃO,Nordeste
RN,2413508,SERRINHA,6470,6422,-0.74%,NÃO,Nordeste
RN,2413557,SERRINHA DOS PINTOS,4819,4841,0.46%,NÃO,Nordeste
RN,2413607,SEVERIANO MELO,3517,3150,-10.44%,NÃO,Nordeste
RN,2413706,SÍTIO NOVO,5481,5528,0.86%,NÃO,Nordeste
RN,2413805,TABOLEIRO GRANDE,2542,2566,0.94%,NÃO,Nordeste
RN,2413904,TAIPU,12398,12428,0.24%,NÃO,Nordeste
RN,2414001,TANGARÁ,15700,15866,1.06%,NÃO,Nordeste
RN,2414100,TENENTE ANANIAS,10731,10814,0.77%,NÃO,Nordeste
RN,2414159,TENENTE LAURENTINO CRUZ,5835,5912,1.32%,NÃO,Nordeste
RN,2414209,TIBAU DO SUL,13609,13895,2.10%,NÃO,Nordeste
RN,2414308,TIMBAÚBA DOS BATISTAS,2428,2437,0.37%,NÃO,Nordeste
RN,2414407,TOUROS,33778,34043,0.78%,NÃO,Nordeste
RN,2414456,TRIUNFO POTIGUAR,3346,3327,-0.57%,NÃO,Nordeste
RN,2414506,UMARIZAL,10808,10781,-0.25%,NÃO,Nordeste
RN,2414605,UPANEMA,14448,14609,1.11%,NÃO,Nordeste
RN,2414704,VÁRZEA,5534,5554,0.36%,NÃO,Nordeste
RN,2414753,VENHA-VER,4154,4187,0.79%,NÃO,Nordeste
RN,2414803,VERA CRUZ,12196,12371,1.43%,NÃO,Nordeste
RN,2414902,VIÇOSA,1722,1731,0.52%,NÃO,Nordeste
RN,2415008,VILA FLOR,3145,3173,0.89%,NÃO,Nordeste
PB,2500106,ÁGUA BRANCA,10172,10258,0.85%,NÃO,Nordeste
PB,2500205,AGUIAR,5567,5562,-0.09%,NÃO,Nordeste
PB,2500304,ALAGOA GRANDE,28604,28565,-0.14%,NÃO,Nordeste
PB,2500403,ALAGOA NOVA,20596,20689,0.45%,NÃO,Nordeste
PB,2500502,ALAGOINHA,14376,14464,0.61%,NÃO,Nordeste
PB,2500536,ALCANTIL,5475,5499,0.44%,NÃO,Nordeste
PB,2500577,ALGODÃO DE JANDAÍRA,2488,2501,0.52%,NÃO,Nordeste
PB,2500601,ALHANDRA,19412,19579,0.86%,NÃO,Nordeste
PB,2500700,SÃO JOÃO DO RIO DO PEIXE,17934,17940,0.03%,NÃO,Nordeste
PB,2500734,AMPARO,2229,2246,0.76%,NÃO,Nordeste
PB,2500775,APARECIDA,8348,8430,0.98%,NÃO,Nordeste
PB,2500809,ARAÇAGI,17061,17003,-0.34%,NÃO,Nordeste
PB,2500908,ARARA,13448,13538,0.67%,NÃO,Nordeste
PB,2501005,ARARUNA,20237,20418,0.89%,NÃO,Nordeste
PB,2501104,AREIA,22940,22776,-0.71%,NÃO,Nordeste
PB,2501153,AREIA DE BARAÚNAS,2137,2126,-0.51%,NÃO,Nordeste
PB,2501203,AREIAL,6938,6975,0.53%,NÃO,Nordeste
PB,2501302,AROEIRAS,19178,19154,-0.13%,NÃO,Nordeste
PB,2501351,ASSUNÇÃO,3876,3921,1.16%,NÃO,Nordeste
PB,2501401,BAÍA DA TRAIÇÃO,8951,9070,1.33%,NÃO,Nordeste
PB,2501500,BANANEIRAS,21195,21156,-0.18%,NÃO,Nordeste
PB,2501534,BARAÚNA,4843,4925,1.69%,NÃO,Nordeste
PB,2501575,BARRA DE SANTANA,8245,8241,-0.05%,NÃO,Nordeste
PB,2501609,BARRA DE SANTA ROSA,15286,15421,0.88%,NÃO,Nordeste
PB,2501708,BARRA DE SÃO MIGUEL,5943,5979,0.61%,NÃO,Nordeste
PB,2501807,BAYEUX,96583,97010,0.44%,NÃO,Nordeste
PB,2501906,BELÉM,17640,17685,0.26%,NÃO,Nordeste
PB,2502003,BELÉM DO BREJO DO CRUZ,7334,7347,0.18%,NÃO,Nordeste
PB,2502052,BERNARDINO BATISTA,3398,3438,1.18%,NÃO,Nordeste
PB,2502102,BOA VENTURA,5410,5349,-1.13%,NÃO,Nordeste
PB,2502151,BOA VISTA,6986,7083,1.39%,NÃO,Nordeste
PB,2502201,BOM JESUS,2550,2567,0.67%,NÃO,Nordeste
PB,2502300,BOM SUCESSO,4989,4972,-0.34%,NÃO,Nordeste
PB,2502409,BONITO DE SANTA FÉ,11814,11938,1.05%,NÃO,Nordeste
PB,2502508,BOQUEIRÃO,17757,17842,0.48%,NÃO,Nordeste
PB,2502607,IGARACY,6182,6173,-0.15%,NÃO,Nordeste
PB,2502706,BORBOREMA,5399,5430,0.57%,NÃO,Nordeste
PB,2502805,BREJO DO CRUZ,14006,14107,0.72%,NÃO,Nordeste
PB,2502904,BREJO DOS SANTOS,6435,6457,0.34%,NÃO,Nordeste
PB,2503001,CAAPORÃ,21717,21872,0.71%,NÃO,Nordeste
PB,2503100,CABACEIRAS,5511,5570,1.07%,NÃO,Nordeste
PB,2503209,CABEDELO,66858,68033,1.76%,NÃO,Nordeste
PB,2503308,CACHOEIRA DOS ÍNDIOS,10191,10265,0.73%,NÃO,Nordeste
PB,2503407,CACIMBA DE AREIA,3731,3749,0.48%,NÃO,Nordeste
PB,2503506,CACIMBA DE DENTRO,17153,17156,0.02%,NÃO,Nordeste
PB,2503555,CACIMBAS,7148,7183,0.49%,NÃO,Nordeste
PB,2503605,CAIÇARA,7288,7283,-0.07%,NÃO,Nordeste
PB,2503704,CAJAZEIRAS,61816,62187,0.60%,NÃO,Nordeste
PB,2503753,CAJAZEIRINHAS,3181,3197,0.50%,NÃO,Nordeste
PB,2503803,CALDAS BRANDÃO,5986,6025,0.65%,NÃO,Nordeste
PB,2503902,CAMALAÚ,5996,6020,0.40%,NÃO,Nordeste
PB,2504009,CAMPINA GRANDE,407754,410332,0.63%,NÃO,Nordeste
PB,2504033,CAPIM,6441,6552,1.72%,NÃO,Nordeste
PB,2504074,CARAÚBAS,4143,4171,0.68%,NÃO,Nordeste
PB,2504108,CARRAPATEIRA,2635,2667,1.21%,NÃO,Nordeste
PB,2504157,CASSERENGUE,7436,7476,0.54%,NÃO,Nordeste
PB,2504207,CATINGUEIRA,4927,4934,0.14%,NÃO,Nordeste
PB,2504306,CATOLÉ DO ROCHA,30360,30534,0.57%,NÃO,Nordeste
PB,2504355,CATURITÉ,4810,4839,0.60%,NÃO,Nordeste
PB,2504405,CONCEIÇÃO,18903,18944,0.22%,NÃO,Nordeste
PB,2504504,CONDADO,6743,6753,0.15%,NÃO,Nordeste
PB,2504603,CONDE,24380,24769,1.60%,NÃO,Nordeste
PB,2504702,CONGO,4785,4789,0.08%,NÃO,Nordeste
PB,2504801,COREMAS,15418,15426,0.05%,NÃO,Nordeste
PB,2504850,COXIXOLA,1909,1925,0.84%,NÃO,Nordeste
PB,2504900,CRUZ DO ESPÍRITO SANTO,17389,17559,0.98%,NÃO,Nordeste
PB,2505006,CUBATI,7234,7274,0.55%,NÃO,Nordeste
PB,2505105,CUITÉ,20337,20348,0.05%,NÃO,Nordeste
PB,2505204,CUITEGI,6815,6790,-0.37%,NÃO,Nordeste
PB,2505238,CUITÉ DE MAMANGUAPE,6349,6358,0.14%,NÃO,Nordeste
PB,2505279,CURRAL DE CIMA,5238,5232,-0.11%,NÃO,Nordeste
PB,2505303,CURRAL VELHO,2520,2517,-0.12%,NÃO,Nordeste
PB,2505352,DAMIÃO,5296,5343,0.89%,NÃO,Nordeste
PB,2505402,DESTERRO,8280,8306,0.31%,NÃO,Nordeste
PB,2505501,VISTA SERRANA,3777,3808,0.82%,NÃO,Nordeste
PB,2505600,DIAMANTE,6570,6550,-0.30%,NÃO,Nordeste
PB,2505709,DONA INÊS,10419,10383,-0.35%,NÃO,Nordeste
PB,2505808,DUAS ESTRADAS,3606,3594,-0.33%,NÃO,Nordeste
PB,2505907,EMAS,3507,3528,0.60%,NÃO,Nordeste
PB,2506004,ESPERANÇA,33031,33266,0.71%,NÃO,Nordeste
PB,2506103,FAGUNDES,11345,11313,-0.28%,NÃO,Nordeste
PB,2506202,FREI MARTINHO,2988,2990,0.07%,NÃO,Nordeste
PB,2506251,GADO BRAVO,8443,8435,-0.09%,NÃO,Nordeste
PB,2506301,GUARABIRA,58529,58881,0.60%,NÃO,Nordeste
PB,2506400,GURINHÉM,14126,14134,0.06%,NÃO,Nordeste
PB,2506509,GURJÃO,3407,3436,0.85%,NÃO,Nordeste
PB,2506608,IBIARA,5949,5925,-0.40%,NÃO,Nordeste
PB,2506707,IMACULADA,11792,11833,0.35%,NÃO,Nordeste
PB,2506806,INGÁ,18105,18163,0.32%,NÃO,Nordeste
PB,2506905,ITABAIANA,24519,24475,-0.18%,NÃO,Nordeste
PB,2507002,ITAPORANGA,24674,24842,0.68%,NÃO,Nordeste
PB,2507101,ITAPOROROCA,18527,18715,1.01%,NÃO,Nordeste
PB,2507200,ITATUBA,10809,10876,0.62%,NÃO,Nordeste
PB,2507309,JACARAÚ,14348,14378,0.21%,NÃO,Nordeste
PB,2507408,JERICÓ,7730,7742,0.16%,NÃO,Nordeste
PB,2507507,JOÃO PESSOA,801718,811598,1.23%,NÃO,Nordeste
PB,2507606,JUAREZ TÁVORA,7901,7950,0.62%,NÃO,Nordeste
PB,2507705,JUAZEIRINHO,18061,18213,0.84%,NÃO,Nordeste
PB,2507804,JUNCO DO SERIDÓ,7111,7165,0.76%,NÃO,Nordeste
PB,2507903,JURIPIRANGA,10721,10770,0.46%,NÃO,Nordeste
PB,2508000,JURU,9880,9868,-0.12%,NÃO,Nordeste
PB,2508109,LAGOA,4676,4666,-0.21%,NÃO,Nordeste
PB,2508208,LAGOA DE DENTRO,7645,7670,0.33%,NÃO,Nordeste
PB,2508307,LAGOA SECA,27398,27543,0.53%,NÃO,Nordeste
PB,2508406,LASTRO,2745,2725,-0.73%,NÃO,Nordeste
PB,2508505,LIVRAMENTO,7371,7386,0.20%,NÃO,Nordeste
PB,2508554,LOGRADOURO,4299,4343,1.02%,NÃO,Nordeste
PB,2508604,LUCENA,12965,13121,1.20%,NÃO,Nordeste
PB,2508703,MÃE D'ÁGUA,4017,4009,-0.20%,NÃO,Nordeste
PB,2508802,MALTA,5668,5665,-0.05%,NÃO,Nordeste
PB,2508901,MAMANGUAPE,44694,45005,0.70%,NÃO,Nordeste
PB,2509008,MANAÍRA,11094,11120,0.23%,NÃO,Nordeste
PB,2509057,MARCAÇÃO,8475,8586,1.31%,NÃO,Nordeste
PB,2509107,MARI,21806,21854,0.22%,NÃO,Nordeste
PB,2509156,MARIZÓPOLIS,6569,6614,0.69%,NÃO,Nordeste
PB,2509206,MASSARANDUBA,13755,13853,0.71%,NÃO,Nordeste
PB,2509305,MATARACA,8345,8466,1.45%,NÃO,Nordeste
PB,2509339,MATINHAS,4517,4537,0.44%,NÃO,Nordeste
PB,2509370,MATO GROSSO,2892,2915,0.80%,NÃO,Nordeste
PB,2509396,MATURÉIA,6516,6587,1.09%,NÃO,Nordeste
PB,2509404,MOGEIRO,13300,13286,-0.11%,NÃO,Nordeste
PB,2509503,MONTADAS,5611,5691,1.43%,NÃO,Nordeste
PB,2509602,MONTE HOREBE,4793,4825,0.67%,NÃO,Nordeste
PB,2509701,MONTEIRO,33039,33294,0.77%,NÃO,Nordeste
PB,2509800,MULUNGU,9882,9922,0.40%,NÃO,Nordeste
PB,2509909,NATUBA,10455,10460,0.05%,NÃO,Nordeste
PB,2510006,NAZAREZINHO,7307,7296,-0.15%,NÃO,Nordeste
PB,2510105,NOVA FLORESTA,10644,10639,-0.05%,NÃO,Nordeste
PB,2510204,NOVA OLINDA,5971,5944,-0.45%,NÃO,Nordeste
PB,2510303,NOVA PALMEIRA,4849,4910,1.26%,NÃO,Nordeste
