meio,uf,estado,regiao,veiculos_mapeados,T_ANALF15M,T_SUPER25M,ESPVIDA,MORT1,T_ENV,PIND,PMPOB,GINI,R1040,R2040,POP,PESO65,I_ESCOLARIDADE,I_FREQ_PROP,IDHM_E,IDHM_L,IDHM_R,IDHM,RDPC
Online,MT,Mato Grosso,Centro-Oeste,44,7.12,12.15,73.97,17.3,7.81,1.58,4.17,0.451,9.78,7.04,3192204.0,255742.0,0.647,0.796,0.742,0.816,0.731,0.763,754.98
Online,RO,Rondônia,Norte,37,8.01,10.68,71.14,20.38,7.13,1.68,9.53,0.47,11.15,8.07,1755648.0,126433.0,0.573,0.697,0.653,0.769,0.703,0.708,634.73
Online,PB,Paraíba,Nordeste,26,17.13,11.28,72.93,17.01,9.3,6.71,17.76,0.524,14.99,10.2,3923954.0,369774.0,0.553,0.713,0.655,0.799,0.672,0.709,523.52
Online,CE,Ceará,Nordeste,21,17.33,7.22,73.62,15.07,10.65,8.76,21.32,0.491,12.7,8.89,8688588.0,950311.0,0.546,0.779,0.692,0.81,0.644,0.715,438.94
Online,AM,Amazonas,Norte,20,6.67,11.15,71.67,18.77,5.78,6.31,20.35,0.517,14.2,9.99,3882818.0,228474.0,0.662,0.68,0.674,0.778,0.658,0.703,480.56
Online,PI,Piauí,Nordeste,20,18.18,8.62,70.87,19.72,8.62,7.89,20.62,0.507,13.8,9.53,3180772.0,276382.0,0.494,0.679,0.611,0.765,0.65,0.675,457.55
Online,PE,Pernambuco,Nordeste,19,15.36,9.96,73.48,13.26,10.44,7.3,17.69,0.521,14.69,9.84,9217551.0,977339.0,0.552,0.719,0.658,0.808,0.665,0.71,500.13
Online,TO,Tocantins,Norte,18,11.43,12.48,73.11,16.32,8.52,3.69,11.6,0.517,14.23,9.6,1463154.0,129436.0,0.594,0.751,0.694,0.802,0.699,0.732,619.56
Online,ES,Espírito Santo,Sudeste,17,5.95,13.94,77.85,9.19,9.94,2.55,6.88,0.488,12.19,8.71,3832617.0,391610.0,0.633,0.773,0.723,0.881,0.728,0.777,743.26
Online,RN,Rio Grande do Norte,Nordeste,15,15.77,10.19,75.48,15.34,8.62,6.9,16.35,0.506,13.42,9.4,3409386.0,297414.0,0.557,0.716,0.658,0.841,0.675,0.725,532.78
Online,PA,Pará,Norte,14,9.94,7.1,71.91,17.09,7.13,4.59,16.38,0.471,10.97,7.85,8048141.0,583779.0,0.556,0.648,0.616,0.782,0.647,0.682,448.4
Online,SE,Sergipe,Nordeste,14,15.63,8.03,72.41,17.02,7.81,5.33,18.87,0.48,11.73,8.44,2215321.0,175590.0,0.523,0.645,0.601,0.79,0.652,0.681,463.77
Online,AL,Alagoas,Nordeste,11,20.01,8.79,71.23,20.86,8.78,8.17,22.78,0.484,11.96,8.1,3265050.0,293854.0,0.477,0.649,0.586,0.771,0.631,0.663,406.34
Online,MA,Maranhão,Nordeste,9,18.81,6.48,70.28,22.37,7.74,12.48,28.32,0.54,16.72,11.14,6681109.0,535140.0,0.521,0.723,0.648,0.755,0.629,0.677,400.97
Online,AC,Acre,Norte,8,13.76,11.09,73.61,17.63,6.21,7.19,20.35,0.539,15.98,11.08,789380.0,50105.0,0.615,0.681,0.658,0.81,0.663,0.71,495.58
Online,AP,Amapá,Norte,5,5.89,11.82,73.66,23.45,5.73,2.75,13.42,0.493,11.96,8.72,763810.0,44138.0,0.692,0.662,0.672,0.811,0.675,0.719,532.22
Online,RR,Roraima,Norte,2,7.96,15.19,71.22,17.39,5.04,2.83,10.89,0.519,14.22,10.08,489524.0,25622.0,0.697,0.783,0.753,0.77,0.707,0.743,649.43
