uf,total jornais online
SP,1643
RS,602
SC,548
MG,457
RJ,456
PR,349
DF,199
GO,195
BA,127
MT,119
MS,115
ES,90
RO,68
CE,49
PA,41
PE,40
TO,37
PB,35
MA,34
AM,31
RN,30
PI,26
AL,20
SE,20
AC,16
AP,8
RR,6
