ANO,UF,Município,T_ANALF15M,T_SUPER25M,ESPVIDA,MORT1,T_ENV,PIND,PMPOB,GINI,R1040,R2040,RDPC,POP,PESO65,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,IDHM
2010,21,SERRANO DO MARANHÃO,32.56,1.24,69.12,32.2,6.19,48.68,71.98,0.59,28.6,20.8,123.44,10934,677,0.266,0.433,0.735,0.44,0.519
2010,21,SÍTIO NOVO,20.95,3.53,71.41,25.0,5.99,38.47,58.69,0.59,29.43,20.82,190.06,16936,1018,0.308,0.456,0.774,0.509,0.564
2010,21,SUCUPIRA DO NORTE,25.86,3.19,68.87,33.1,7.73,35.5,56.71,0.59,26.47,19.89,210.88,10430,807,0.315,0.505,0.731,0.526,0.579
2010,21,SUCUPIRA DO RIACHÃO,32.99,2.37,70.63,27.4,8.71,24.56,44.48,0.51,14.52,10.6,226.96,4611,402,0.271,0.447,0.761,0.538,0.568
2010,21,TASSO FRAGOSO,17.8,2.6,71.6,24.5,5.55,27.43,43.65,0.58,24.07,16.57,264.76,7769,433,0.325,0.491,0.777,0.562,0.599
2010,21,TIMBIRAS,37.82,2.95,68.78,33.4,6.64,41.53,62.89,0.62,33.15,22.68,177.46,27988,1859,0.264,0.427,0.73,0.498,0.537
2010,21,TIMON,17.26,4.79,71.09,26.0,5.9,9.62,25.6,0.5,12.62,8.81,365.26,154985,9177,0.458,0.579,0.768,0.614,0.649
2010,21,TRIZIDELA DO VALE,24.81,1.45,69.29,31.7,7.8,14.71,33.33,0.46,9.67,7.64,269.74,18909,1479,0.363,0.534,0.738,0.565,0.606
2010,21,TUFILÂNDIA,34.12,3.35,67.56,37.7,7.11,26.98,50.52,0.48,12.62,9.64,181.75,5596,398,0.311,0.481,0.709,0.502,0.555
2010,21,TUNTUM,29.84,2.55,68.57,34.1,6.81,31.92,51.89,0.57,22.76,15.91,221.27,39123,2670,0.286,0.483,0.726,0.534,0.572
2010,21,TURIAÇU,24.84,1.78,71.54,24.7,5.24,41.61,59.12,0.59,31.63,23.02,171.5,33767,1779,0.325,0.461,0.776,0.493,0.561
2010,21,TURILÂNDIA,30.36,1.33,71.45,24.9,4.95,32.69,57.75,0.52,15.73,11.59,174.09,22742,1132,0.259,0.402,0.774,0.495,0.536
2010,21,TUTÓIA,28.94,2.39,68.33,35.0,5.71,28.75,48.27,0.56,20.55,13.82,235.35,52580,3016,0.305,0.451,0.722,0.543,0.561
2010,21,URBANO SANTOS,30.0,2.23,71.21,25.6,5.23,38.12,58.13,0.6,29.93,21.31,186.07,24538,1285,0.377,0.522,0.77,0.506,0.588
2010,21,VARGEM GRANDE,32.02,1.61,71.1,26.0,5.67,41.19,63.72,0.59,30.8,21.72,165.37,49289,2801,0.291,0.425,0.768,0.487,0.542
2010,21,VIANA,17.79,3.9,70.47,27.9,6.66,23.39,44.43,0.57,19.81,13.68,272.76,49314,3297,0.421,0.548,0.758,0.567,0.618
2010,21,VILA NOVA DOS MARTÍRIOS,28.17,0.89,68.09,35.8,5.05,13.22,36.31,0.45,9.57,7.31,252.89,11200,569,0.37,0.491,0.718,0.555,0.581
2010,21,VITÓRIA DO MEARIM,25.05,2.3,68.97,32.8,6.67,29.47,48.81,0.56,19.73,14.83,230.76,31066,2081,0.359,0.534,0.733,0.54,0.596
2010,21,VITORINO FREIRE,32.75,4.84,66.26,42.7,7.84,25.55,44.92,0.57,22.01,14.1,265.69,31498,2482,0.299,0.477,0.688,0.563,0.57
2010,21,ZÉ DOCA,24.21,3.03,69.7,30.3,6.22,21.13,41.2,0.52,15.21,11.01,259.21,50075,3121,0.372,0.505,0.745,0.559,0.595
2010,22,ACAUÃ,30.41,1.81,66.53,39.8,7.3,32.12,49.62,0.5,14.22,10.94,199.35,6749,493,0.219,0.411,0.692,0.517,0.528
2010,22,AGRICOLÂNDIA,27.47,3.5,69.53,29.3,11.24,24.0,41.1,0.49,12.41,10.13,245.68,5093,573,0.363,0.526,0.742,0.55,0.599
2010,22,ÁGUA BRANCA,24.14,4.79,70.79,25.5,9.1,14.39,30.26,0.49,12.56,9.13,335.63,16436,1497,0.424,0.569,0.763,0.6,0.639
2010,22,ALAGOINHA DO PIAUÍ,44.4,2.93,67.95,34.6,8.55,28.91,48.56,0.51,16.35,12.15,222.87,7341,628,0.214,0.391,0.716,0.535,0.531
2010,22,ALEGRETE DO PIAUÍ,35.26,4.48,69.94,28.0,8.87,22.97,39.16,0.5,14.38,10.74,268.12,5134,457,0.296,0.475,0.749,0.564,0.585
2010,22,ALTO LONGÁ,32.83,1.7,70.05,27.7,9.66,27.19,43.49,0.58,21.48,15.91,272.28,13607,1318,0.274,0.47,0.751,0.567,0.585
2010,22,ALTOS,26.04,4.47,71.03,24.8,8.36,18.61,36.67,0.55,18.24,12.36,314.48,38686,3244,0.375,0.512,0.767,0.59,0.614
2010,22,ALVORADA DO GURGUÉIA,25.8,5.24,69.96,28.0,5.96,39.72,56.77,0.6,28.99,20.03,203.23,5029,301,0.348,0.496,0.749,0.52,0.578
2010,22,AMARANTE,27.95,4.77,70.0,27.8,10.0,23.92,38.76,0.53,17.61,12.98,284.71,17082,1713,0.347,0.497,0.75,0.574,0.598
2010,22,ANGICAL DO PIAUÍ,24.89,4.55,69.2,30.4,11.02,21.6,35.52,0.6,23.86,15.42,356.17,6672,735,0.38,0.555,0.737,0.61,0.63
2010,22,ANÍSIO DE ABREU,29.18,5.06,71.09,24.6,7.21,32.14,48.41,0.52,17.29,13.43,221.91,9090,656,0.351,0.512,0.768,0.534,0.594
2010,22,ANTÔNIO ALMEIDA,24.8,8.13,71.85,22.5,7.57,20.76,33.76,0.51,14.47,10.74,293.53,3030,230,0.382,0.527,0.781,0.579,0.62
2010,22,AROAZES,30.77,3.73,70.11,27.5,10.07,22.62,43.99,0.52,16.53,11.98,265.91,5773,582,0.298,0.468,0.752,0.563,0.583
2010,22,AROEIRAS DO ITAIM,36.64,0.6,69.27,30.1,10.82,30.94,45.57,0.48,15.04,11.93,182.29,2440,264,0.195,0.378,0.738,0.502,0.519
2010,22,ARRAIAL,31.52,4.21,70.66,25.8,8.45,35.53,52.58,0.55,22.55,17.01,195.46,4688,396,0.306,0.449,0.761,0.514,0.56
2010,22,ASSUNÇÃO DO PIAUÍ,39.32,2.07,67.35,36.7,6.28,48.32,63.17,0.57,25.09,19.25,141.79,7500,471,0.215,0.382,0.706,0.462,0.499
2010,22,AVELINO LOPES,23.12,3.42,68.3,33.4,8.2,32.35,50.65,0.56,20.71,14.9,218.97,11061,907,0.292,0.442,0.722,0.532,0.554
2010,22,BAIXA GRANDE DO RIBEIRO,20.62,2.66,70.07,27.6,4.4,30.2,47.37,0.56,22.26,16.48,225.94,10498,463,0.308,0.446,0.751,0.537,0.564
2010,22,BARRA D'ALCÂNTARA,31.12,2.15,71.59,23.2,9.94,32.35,47.56,0.51,16.43,12.93,211.18,3852,383,0.253,0.471,0.777,0.526,0.577
2010,22,BARRAS,32.16,4.42,71.74,22.8,7.05,20.74,38.78,0.51,13.84,10.06,257.99,44518,3163,0.321,0.485,0.779,0.558,0.595
2010,22,BARREIRAS DO PIAUÍ,20.38,5.85,68.81,31.7,6.9,21.75,42.95,0.53,15.56,11.43,260.79,3231,223,0.362,0.423,0.73,0.56,0.557
2010,22,BARRO DURO,27.69,3.53,68.72,32.0,9.13,10.02,29.64,0.51,13.59,9.36,359.06,6580,603,0.357,0.514,0.729,0.611,0.612
2010,22,BATALHA,35.73,2.17,70.31,26.9,8.35,29.85,46.11,0.54,18.82,13.69,230.66,25754,2152,0.24,0.398,0.755,0.54,0.545
2010,22,BELA VISTA DO PIAUÍ,22.61,2.96,67.52,36.1,6.8,36.9,53.46,0.59,29.22,20.16,203.61,3772,257,0.32,0.519,0.709,0.52,0.576
