UF,CÓDIGO MUNICÍPIO,NOME-UF,"2016
(TCU)","2017
(DOU)",TCG 2016-17,"SOFREU REMANEJAMENTO POPULACIONAL DEVIDO A ALTERAÇÃO DE LIMITES ENTRE MUNICÍPIOS, ENTRE 2016 E 2017?"
AM,1300300,Autazes-AM,"37,752","38,454",1.86%,NÃO
AM,1300409,Barcelos-AM,"27,589","27,743",0.56%,NÃO
AM,1300508,Barreirinha-AM,"31,105","31,542",1.40%,NÃO
AM,1300607,Benjamin Constant-AM,"40,417","41,329",2.26%,NÃO
AM,1300631,Beruri-AM,"18,579","18,978",2.15%,NÃO
AM,1300680,Boa Vista do Ramos-AM,"18,080","18,483",2.23%,NÃO
AM,1300706,Boca do Acre-AM,"33,840","34,176",0.99%,NÃO
AM,1300805,Borba-AM,"39,885","40,464",1.45%,NÃO
AM,1300839,Caapiranga-AM,"12,622","12,820",1.57%,NÃO
AM,1300904,Canutama-AM,"15,312","15,490",1.16%,NÃO
AM,1301001,Carauari-AM,"28,111","28,337",0.80%,NÃO
AM,1301100,Careiro-AM,"36,922","37,399",1.29%,NÃO
AM,1301159,Careiro da Várzea-AM,"28,592","29,190",2.09%,NÃO
AM,1301209,Coari-AM,"83,929","84,762",0.99%,NÃO
AM,1301308,Codajás-AM,"27,303","27,817",1.88%,NÃO
AM,1301407,Eirunepé-AM,"34,461","34,888",1.24%,NÃO
AM,1301506,Envira-AM,"19,143","19,492",1.82%,NÃO
AM,1301605,Fonte Boa-AM,"20,199","19,669",-2.62%,NÃO
AM,1301654,Guajará-AM,"16,085","16,339",1.58%,NÃO
AM,1301704,Humaitá-AM,"52,354","53,383",1.97%,NÃO
AM,1301803,Ipixuna-AM,"27,587","28,299",2.58%,NÃO
AM,1301852,Iranduba-AM,"46,703","47,407",1.51%,NÃO
AM,1301902,Itacoatiara-AM,"98,503","99,854",1.37%,NÃO
AM,1301951,Itamarati-AM,"8,153","8,128",-0.31%,NÃO
AM,1302009,Itapiranga-AM,"9,040","9,125",0.94%,NÃO
AM,1302108,Japurá-AM,"4,660","4,205",-9.76%,NÃO
AM,1302207,Juruá-AM,"13,581","13,956",2.76%,NÃO
AM,1302306,Jutaí-AM,"16,200","15,824",-2.32%,NÃO
AM,1302405,Lábrea-AM,"44,071","44,861",1.79%,NÃO
AM,1302504,Manacapuru-AM,"95,330","96,460",1.19%,NÃO
AM,1302553,Manaquiri-AM,"29,327","30,222",3.05%,NÃO
AM,1302603,Manaus-AM,"2,094,391","2,130,264",1.71%,NÃO
AM,1302702,Manicoré-AM,"53,890","54,708",1.52%,NÃO
AM,1302801,Maraã-AM,"18,477","18,531",0.29%,NÃO
AM,1302900,Maués-AM,"61,110","62,212",1.80%,NÃO
AM,1303007,Nhamundá-AM,"20,633","20,902",1.30%,NÃO
AM,1303106,Nova Olinda do Norte-AM,"35,800","36,431",1.76%,NÃO
AM,1303205,Novo Airão-AM,"18,133","18,586",2.50%,NÃO
AM,1303304,Novo Aripuanã-AM,"24,718","25,112",1.59%,NÃO
AM,1303403,Parintins-AM,"112,716","113,832",0.99%,NÃO
AM,1303502,Pauini-AM,"19,488","19,597",0.56%,NÃO
AM,1303536,Presidente Figueiredo-AM,"33,703","34,574",2.58%,NÃO
AM,1303569,Rio Preto da Eva-AM,"31,274","32,001",2.32%,NÃO
AM,1303601,Santa Isabel do Rio Negro-AM,"23,092","23,765",2.91%,NÃO
AM,1303700,Santo Antônio do Içá-AM,"23,378","23,075",-1.30%,NÃO
AM,1303809,São Gabriel da Cachoeira-AM,"43,831","44,553",1.65%,NÃO
AM,1303908,São Paulo de Olivença-AM,"37,300","38,047",2.00%,NÃO
AM,1303957,São Sebastião do Uatumã-AM,"13,105","13,421",2.41%,NÃO
AM,1304005,Silves-AM,"9,147","9,211",0.70%,NÃO
AM,1304062,Tabatinga-AM,"62,346","63,635",2.07%,NÃO
AM,1304104,Tapauá-AM,"18,039","17,930",-0.60%,NÃO
AM,1304203,Tefé-AM,"62,230","62,021",-0.34%,NÃO
AM,1304237,Tonantins-AM,"18,632","18,782",0.81%,NÃO
AM,1304260,Uarini-AM,"13,276","13,428",1.14%,NÃO
AM,1304302,Urucará-AM,"17,065","16,968",-0.57%,NÃO
AM,1304401,Urucurituba-AM,"21,650","22,148",2.30%,NÃO
RR,1400027,Amajari-RR,"11,285","11,560",2.44%,NÃO
RR,1400050,Alto Alegre-RR,"16,053","15,933",-0.75%,NÃO
RR,1400100,Boa Vista-RR,"326,419","332,020",1.72%,NÃO
RR,1400159,Bonfim-RR,"11,843","11,945",0.86%,NÃO
RR,1400175,Cantá-RR,"16,516","16,877",2.19%,NÃO
RR,1400209,Caracaraí-RR,"20,537","20,807",1.31%,NÃO
RR,1400233,Caroebe-RR,"9,331","9,493",1.74%,NÃO
RR,1400282,Iracema-RR,"10,592","10,859",2.52%,NÃO
RR,1400308,Mucajaí-RR,"16,618","16,852",1.41%,NÃO
RR,1400407,Normandia-RR,"10,339","10,527",1.82%,NÃO
RR,1400456,Pacaraima-RR,"12,144","12,375",1.90%,NÃO
RR,1400472,Rorainópolis-RR,"27,756","28,215",1.65%,NÃO
RR,1400506,São João da Baliza-RR,"7,629","7,740",1.45%,NÃO
RR,1400605,São Luiz-RR,"7,503","7,597",1.25%,NÃO
RR,1400704,Uiramutã-RR,"9,664","9,836",1.78%,NÃO
PA,1500107,Abaetetuba-PA,"151,934","153,380",0.95%,NÃO
PA,1500131,Abel Figueiredo-PA,"7,179","7,231",0.72%,NÃO
PA,1500206,Acará-PA,"54,080","54,096",0.03%,NÃO
PA,1500305,Afuá-PA,"37,778","38,144",0.97%,NÃO
PA,1500347,Água Azul do Norte-PA,"26,497","26,682",0.70%,NÃO
PA,1500404,Alenquer-PA,"54,960","55,246",0.52%,NÃO
PA,1500503,Almeirim-PA,"33,282","33,195",-0.26%,NÃO
PA,1500602,Altamira-PA,"109,938","111,435",1.36%,NÃO
PA,1500701,Anajás-PA,"28,012","28,466",1.62%,NÃO
PA,1500800,Ananindeua-PA,"510,834","516,057",1.02%,NÃO
PA,1500859,Anapu-PA,"26,271","27,096",3.14%,NÃO
PA,1500909,Augusto Corrêa-PA,"44,227","44,734",1.15%,NÃO
PA,1500958,Aurora do Pará-PA,"29,991","30,471",1.60%,NÃO
PA,1501006,Aveiro-PA,"15,950","15,947",-0.02%,NÃO
PA,1501105,Bagre-PA,"29,065","29,808",2.56%,NÃO
PA,1501204,Baião-PA,"44,956","46,110",2.57%,NÃO
PA,1501253,Bannach-PA,"3,233","3,200",-1.02%,NÃO
PA,1501303,Barcarena-PA,"118,537","121,190",2.24%,NÃO
PA,1501402,Belém-PA,"1,446,042","1,452,275",0.43%,NÃO
PA,1501451,Belterra-PA,"17,145","17,249",0.61%,NÃO
PA,1501501,Benevides-PA,"59,836","60,990",1.93%,NÃO
PA,1501576,Bom Jesus do Tocantins-PA,"16,375","16,517",0.87%,NÃO
PA,1501600,Bonito-PA,"15,563","15,834",1.74%,NÃO
PA,1501709,Bragança-PA,"122,881","124,184",1.06%,NÃO
PA,1501725,Brasil Novo-PA,"14,834","14,689",-0.98%,NÃO
PA,1501758,Brejo Grande do Araguaia-PA,"7,206","7,182",-0.33%,NÃO
PA,1501782,Breu Branco-PA,"62,737","64,194",2.32%,NÃO
PA,1501808,Breves-PA,"99,080","99,896",0.82%,NÃO
PA,1501907,Bujaru-PA,"28,016","28,331",1.12%,NÃO
PA,1501956,Cachoeira do Piriá-PA,"32,139","32,947",2.51%,NÃO
PA,1502004,Cachoeira do Arari-PA,"22,786","23,110",1.42%,NÃO
PA,1502103,Cametá-PA,"132,515","134,100",1.20%,NÃO
