id,meio,nome,cidade,regiao_metropolitana,uf,estado,regiao,pais,fonte
id1323,Jornal,GAZETA DO NORTAO,ALTA FLORESTA,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,Secom/PR
id1324,Jornal,ANJOS UNIVERSITARIO,ALTA FLORESTA,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,Secom/PR
id1393,Online,O XINGU,ALTAMIRA,n/d,PA,Pará,Norte,Brasil,Secom/PR
id3958,Jornal,TRIBUNA DE ALTINOPOLIS,ALTINÓPOLIS,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id504,Online,O VETOR,ALTO PARAÍSO DE GOIÁS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id557,Jornal,O VETOR,ALTO PARAÍSO DE GOIÁS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id1518,Online,PORTAL ALTÔNIA,ALTÔNIA,n/d,PR,Paraná,Sul,Brasil,Secom/PR
id1519,Online,REDE DE PORTAIS AMERIOS,ALTÔNIA,n/d,PR,Paraná,Sul,Brasil,Secom/PR
id3959,Jornal,GAZETA DE ALUMINIO,ALUMÍNIO,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id3960,Jornal,JORNAL DE ALUMINIO REGIONAL,ALUMÍNIO,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id2462,Jornal,CORREIO DINAMICO,ALVORADA,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR
id2463,Jornal,A SEMANA,ALVORADA,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR
id2464,Jornal,A FOLHA,ALVORADA,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR
id2465,Jornal,IDEIAS & AÇOES SUSTENTAVEIS (EX- NOSSO JORNAL),ALVORADA,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR
id5153,Jornal,JORNAL CORREIO DINÂMICO,ALVORADA,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs
id5154,Jornal,JORNAL A SEMANA,ALVORADA,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs
id5155,Jornal,JORNAL DE ALVORADA,ALVORADA,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs
id5156,Jornal,NOSSO JORNAL,ALVORADA,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs
id2314,Jornal,CORREIO DO VALE,ALVORADA D'OESTE,n/d,RO,Rondônia,Norte,Brasil,Secom/PR
id1208,Jornal,CORREIO DA FRONTEIRA,AMAMBAI,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1209,Jornal,A GAZETA,AMAMBAI,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id3224,Online,TECNOBLOG,AMERICANA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id3225,Online,O LIBERAL,AMERICANA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id3961,Jornal,JORNAL DO ZANAGA,AMERICANA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id5008,Jornal,O LIBERAL,AMERICANA,n/d,SP,São Paulo,Sudeste,Brasil,Atlas da Notícia
id3963,Jornal,A TRIBUNA,AMPARO,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id3964,Jornal,GAZETA AMPARENSE,AMPARO,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id505,Online,BLOG PORTAL GOIÁS,ANÁPOLIS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id506,Online,TRIBUNA DE ANÁPOLIS,ANÁPOLIS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id558,Jornal,CONTEXTO,ANÁPOLIS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id559,Jornal,FOLHA ESPORTIVA,ANÁPOLIS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id560,Jornal,O ANAPOLIS,ANÁPOLIS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id561,Jornal,FOLHA 670,ANÁPOLIS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id562,Jornal,CORREIO DOS PIRENEUS,ANÁPOLIS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id563,Jornal,ESTADO DE GOIAS,ANÁPOLIS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id564,Jornal,TRIBUNA DE ANAPOLIS,ANÁPOLIS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id436,Jornal,ESTADO DO ESPIRITO SANTO,ANCHIETA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR
id437,Jornal,JORNAL JA - JORNAL DE ANCHIETA,ANCHIETA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR
id438,Jornal,ANCHIETA EM FOCO,ANCHIETA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR
id1633,Jornal,FOLHA DE ANDIRA,ANDIRÁ,n/d,PR,Paraná,Sul,Brasil,Secom/PR
id5518,Jornal,FOLHA DE ANDIRÁ,ANDIRÁ,n/d,PR,Paraná,Sul,Brasil,Adjori-Pr
id815,Jornal,FOLHA ANDRADENSE,ANDRADAS,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id816,Jornal,ANDRADAS HOJE,ANDRADAS,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id3226,Online,HOJEMAIS ANDRADINA,ANDRADINA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id3965,Jornal,O JORNAL DA REGIAO (EX- GAZETA),ANDRADINA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id3966,Jornal,JORNAL DA AGRICULTURA FAMILIAR,ANDRADINA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id3967,Jornal,FOLHA REGIONAL,ANDRADINA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id3968,Jornal,O NOROESTE RURAL (EX JORNAL DO ASSENTADO),ANDRADINA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
