meio,cidade,Codmun6,Codmun7,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
Jornal,SALVADOR,292740.0,2927408.0,10,RM Salvador,BA,Bahia,Nordeste,Brasil,2650633.0,973.0,0.697,0.759,0.679,0.835,0.772
Jornal,ARARUAMA,330020.0,3300209.0,10,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,111398.0,680.88,0.556,0.718,0.617,0.839,0.714
Jornal,SÃO CAETANO DO SUL,354880.0,3548807.0,10,RM São Paulo,SP,São Paulo,Sudeste,Brasil,148195.0,2043.74,0.762,0.862,0.811,0.887,0.891
Jornal,MARINGÁ,411520.0,4115200.0,10,n/d,PR,Paraná,Sul,Brasil,354512.0,1202.63,0.691,0.808,0.768,0.852,0.806
Jornal,BALNEÁRIO CAMBORIÚ,420200.0,4202008.0,10,n/d,SC,Santa Catarina,Sul,Brasil,107149.0,1625.59,0.763,0.845,0.789,0.894,0.854
Jornal,ITAJAÍ,420820.0,4208203.0,10,n/d,SC,Santa Catarina,Sul,Brasil,182637.0,1014.0,0.646,0.795,0.73,0.884,0.778
Jornal,JOINVILLE,420910.0,4209102.0,10,n/d,SC,Santa Catarina,Sul,Brasil,512406.0,1126.74,0.709,0.809,0.749,0.889,0.795
Jornal,CANOAS,430460.0,4304606.0,10,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,322949.0,952.13,0.646,0.75,0.636,0.864,0.768
Jornal,CATALÃO,520510.0,5205109.0,10,n/d,GO,Goiás,Centro-Oeste,Brasil,86253.0,959.4,0.613,0.766,0.715,0.819,0.769
Jornal,CONTAGEM,311860.0,3118601.0,9,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,600466.0,824.3,0.623,0.756,0.697,0.832,0.745
Jornal,ITABIRA,313170.0,3131703.0,9,n/d,MG,Minas Gerais,Sudeste,Brasil,109507.0,744.61,0.576,0.756,0.678,0.873,0.729
Jornal,BARUERI,350570.0,3505708.0,9,RM São Paulo,SP,São Paulo,Sudeste,Brasil,240055.0,1095.84,0.631,0.786,0.708,0.866,0.791
Jornal,INDAIATUBA,352050.0,3520509.0,9,n/d,SP,São Paulo,Sudeste,Brasil,201009.0,1098.31,0.657,0.788,0.738,0.837,0.791
Jornal,RIO CLARO,354390.0,3543907.0,9,n/d,SP,São Paulo,Sudeste,Brasil,185172.0,1049.16,0.671,0.803,0.766,0.862,0.784
Jornal,UMUARAMA,412810.0,4128104.0,9,n/d,PR,Paraná,Sul,Brasil,99898.0,880.6,0.567,0.761,0.698,0.836,0.755
Jornal,ARARANGUÁ,420140.0,4201406.0,9,n/d,SC,Santa Catarina,Sul,Brasil,60793.0,827.2,0.565,0.76,0.691,0.853,0.745
Jornal,RIO DO SUL,421480.0,4214805.0,9,n/d,SC,Santa Catarina,Sul,Brasil,60758.0,1114.31,0.612,0.802,0.727,0.894,0.793
Jornal,SÃO JOSÉ,421660.0,4216602.0,9,n/d,SC,Santa Catarina,Sul,Brasil,208673.0,1157.43,0.728,0.809,0.752,0.88,0.799
Jornal,CACHOEIRINHA,430310.0,4303103.0,9,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,117991.0,844.04,0.66,0.757,0.675,0.857,0.749
Jornal,RIO BRANCO,120040.0,1200401.0,8,n/d,AC,Acre,Norte,Brasil,333052.0,744.67,0.607,0.727,0.661,0.798,0.729
Jornal,RECIFE,261160.0,2611606.0,8,RM Recife,PE,Pernambuco,Nordeste,Brasil,1524313.0,1144.26,0.664,0.772,0.698,0.825,0.798
Jornal,IPATINGA,313130.0,3131307.0,8,n/d,MG,Minas Gerais,Sudeste,Brasil,238052.0,862.91,0.625,0.771,0.705,0.864,0.752
Jornal,ITAÚNA,313380.0,3133808.0,8,n/d,MG,Minas Gerais,Sudeste,Brasil,84936.0,847.74,0.548,0.758,0.685,0.85,0.749
Jornal,SETE LAGOAS,316720.0,3167202.0,8,n/d,MG,Minas Gerais,Sudeste,Brasil,213087.0,809.26,0.59,0.76,0.705,0.84,0.742
Jornal,TEÓFILO OTONI,316860.0,3168606.0,8,n/d,MG,Minas Gerais,Sudeste,Brasil,133143.0,615.34,0.492,0.701,0.598,0.824,0.698
Jornal,NOVA VENÉCIA,320390.0,3203908.0,8,n/d,ES,Espírito Santo,Sudeste,Brasil,45632.0,592.06,0.473,0.712,0.621,0.841,0.692
Jornal,PIRACICABA,353870.0,3538709.0,8,n/d,SP,São Paulo,Sudeste,Brasil,363011.0,1143.2,0.64,0.785,0.717,0.848,0.797
Jornal,TAUBATÉ,355410.0,3554102.0,8,n/d,SP,São Paulo,Sudeste,Brasil,276215.0,1011.95,0.682,0.8,0.746,0.883,0.778
Jornal,CORNÉLIO PROCÓPIO,410640.0,4106407.0,8,n/d,PR,Paraná,Sul,Brasil,46608.0,828.19,0.593,0.759,0.692,0.848,0.746
Jornal,LONDRINA,411370.0,4113700.0,8,n/d,PR,Paraná,Sul,Brasil,503548.0,1083.35,0.649,0.778,0.712,0.837,0.789
Jornal,JARAGUÁ DO SUL,420890.0,4208906.0,8,n/d,SC,Santa Catarina,Sul,Brasil,142186.0,1111.85,0.687,0.803,0.755,0.865,0.793
Jornal,ALVORADA,430060.0,4300604.0,8,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,194977.0,600.48,0.563,0.699,0.564,0.874,0.694
Jornal,CRUZ ALTA,430610.0,4306106.0,8,n/d,RS,Rio Grande do Sul,Sul,Brasil,62352.0,871.81,0.591,0.75,0.653,0.858,0.754
Jornal,SÃO LEOPOLDO,431870.0,4318705.0,8,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,213161.0,939.93,0.599,0.739,0.612,0.861,0.766
Jornal,VIAMÃO,432300.0,4323002.0,8,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,237679.0,707.05,0.576,0.717,0.591,0.866,0.72
Jornal,MACEIÓ,270430.0,2704302.0,7,n/d,AL,Alagoas,Nordeste,Brasil,924611.0,792.54,0.591,0.721,0.635,0.799,0.739
Jornal,ARAGUARI,310350.0,3103504.0,7,n/d,MG,Minas Gerais,Sudeste,Brasil,109297.0,798.63,0.585,0.773,0.716,0.871,0.74
Jornal,CATAGUASES,311530.0,3115300.0,7,n/d,MG,Minas Gerais,Sudeste,Brasil,69329.0,699.57,0.546,0.751,0.685,0.861,0.718
Jornal,GOVERNADOR VALADARES,312770.0,3127701.0,7,n/d,MG,Minas Gerais,Sudeste,Brasil,261663.0,678.74,0.549,0.727,0.644,0.834,0.714
Jornal,JUIZ DE FORA,313670.0,3136702.0,7,n/d,MG,Minas Gerais,Sudeste,Brasil,512779.0,1050.88,0.65,0.778,0.711,0.844,0.784
