cidade,Codmun6,Codmun7,veiculos_mapeados,vei100milh,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
ALAGOINHAS,290070.0,2900702.0,3,2.12,n/d,BA,Bahia,Nordeste,Brasil,141312.0,553.17,0.575,0.683,0.592,0.79,0.681
SÃO LUÍS,211130.0,2111300.0,21,2.09,n/d,MA,Maranhão,Nordeste,Brasil,1005101.0,805.36,0.735,0.768,0.752,0.813,0.741
GUARUJÁ,351870.0,3518701.0,6,2.07,n/d,SP,São Paulo,Sudeste,Brasil,290055.0,745.0,0.594,0.751,0.679,0.854,0.729
JUAZEIRO,291840.0,2918407.0,4,2.03,n/d,BA,Bahia,Nordeste,Brasil,197031.0,476.58,0.511,0.677,0.594,0.796,0.657
VESPASIANO,317120.0,3171204.0,2,1.92,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,104081.0,539.05,0.477,0.688,0.592,0.811,0.677
ARAPONGAS,410150.0,4101507.0,2,1.92,n/d,PR,Paraná,Sul,Brasil,103954.0,855.02,0.567,0.748,0.669,0.834,0.751
AMERICANA,350160.0,3501608.0,4,1.91,n/d,SP,São Paulo,Sudeste,Brasil,209811.0,1161.68,0.651,0.811,0.76,0.876,0.8
CARAPICUÍBA,351060.0,3510609.0,7,1.9,RM São Paulo,SP,São Paulo,Sudeste,Brasil,368909.0,712.78,0.6,0.749,0.693,0.842,0.721
FRANCA,351620.0,3516200.0,6,1.89,n/d,SP,São Paulo,Sudeste,Brasil,317558.0,846.57,0.631,0.78,0.753,0.842,0.749
VÁRZEA PAULISTA,355650.0,3556503.0,2,1.87,n/d,SP,São Paulo,Sudeste,Brasil,106832.0,706.02,0.572,0.759,0.705,0.863,0.72
PAULO AFONSO,292400.0,2924009.0,2,1.86,n/d,BA,Bahia,Nordeste,Brasil,107558.0,544.73,0.486,0.674,0.572,0.789,0.678
MESQUITA,330285.0,3302858.0,3,1.78,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,168234.0,640.37,0.662,0.737,0.678,0.839,0.704
MACAPÁ,160030.0,1600303.0,7,1.77,n/d,AP,Amapá,Norte,Brasil,395465.0,717.88,0.679,0.733,0.663,0.82,0.723
MAGÉ,330250.0,3302502.0,4,1.77,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,226225.0,567.59,0.545,0.709,0.626,0.832,0.685
DUQUE DE CAXIAS,330170.0,3301702.0,15,1.76,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,853747.0,592.81,0.584,0.711,0.624,0.833,0.692
SÃO JOSÉ DOS CAMPOS,354990.0,3549904.0,11,1.75,n/d,SP,São Paulo,Sudeste,Brasil,627707.0,1190.96,0.703,0.807,0.764,0.855,0.804
LUZIÂNIA,521250.0,5212501.0,3,1.73,RIDE DF,GO,Goiás,Centro-Oeste,Brasil,173474.0,580.88,0.51,0.701,0.602,0.831,0.689
SOROCABA,355220.0,3552205.0,10,1.72,n/d,SP,São Paulo,Sudeste,Brasil,581667.0,1107.19,0.677,0.798,0.762,0.843,0.792
SANTARÉM,150680.0,1506807.0,5,1.71,n/d,PA,Pará,Norte,Brasil,293064.0,409.07,0.569,0.691,0.648,0.807,0.632
ARAUCÁRIA,410180.0,4101804.0,2,1.68,RM Curitiba,PR,Paraná,Sul,Brasil,119047.0,814.39,0.569,0.74,0.639,0.852,0.743
MONTES CLAROS,314330.0,3143302.0,6,1.67,n/d,MG,Minas Gerais,Sudeste,Brasil,359278.0,650.62,0.646,0.77,0.744,0.868,0.707
FEIRA DE SANTANA,291080.0,2910800.0,9,1.63,n/d,BA,Bahia,Nordeste,Brasil,552741.0,662.24,0.576,0.712,0.619,0.82,0.71
MANAUS,130260.0,1302603.0,29,1.62,n/d,AM,Amazonas,Norte,Brasil,1793443.0,790.27,0.679,0.737,0.658,0.826,0.738
MACEIÓ,270430.0,2704302.0,15,1.62,n/d,AL,Alagoas,Nordeste,Brasil,924611.0,792.54,0.591,0.721,0.635,0.799,0.739
FRANCO DA ROCHA,351640.0,3516408.0,2,1.62,RM São Paulo,SP,São Paulo,Sudeste,Brasil,123427.0,632.42,0.527,0.731,0.654,0.852,0.702
BARBACENA,310560.0,3105608.0,2,1.6,n/d,MG,Minas Gerais,Sudeste,Brasil,124847.0,854.27,0.569,0.769,0.687,0.881,0.751
UBERLÂNDIA,317020.0,3170206.0,9,1.5,n/d,MG,Minas Gerais,Sudeste,Brasil,600747.0,1001.45,0.646,0.789,0.716,0.885,0.776
ITAPEVI,352250.0,3522505.0,3,1.5,RM São Paulo,SP,São Paulo,Sudeste,Brasil,200590.0,575.72,0.554,0.735,0.677,0.855,0.687
LIMEIRA,352690.0,3526902.0,4,1.45,n/d,SP,São Paulo,Sudeste,Brasil,275032.0,910.85,0.61,0.775,0.719,0.852,0.761
QUEIMADOS,330414.0,3304144.0,2,1.45,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,137712.0,484.4,0.536,0.68,0.589,0.81,0.659
ARAPIRACA,270030.0,2700300.0,3,1.41,n/d,AL,Alagoas,Nordeste,Brasil,212874.0,423.28,0.42,0.649,0.549,0.78,0.638
GUARULHOS,351880.0,3518800.0,17,1.4,RM São Paulo,SP,São Paulo,Sudeste,Brasil,1213492.0,829.91,0.639,0.763,0.717,0.831,0.746
BELÉM,150140.0,1501402.0,19,1.37,RM Belém,PA,Pará,Norte,Brasil,1385193.0,853.82,0.692,0.746,0.673,0.822,0.751
BETIM,310670.0,3106705.0,5,1.33,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,376682.0,660.56,0.587,0.749,0.687,0.864,0.709
RECIFE,261160.0,2611606.0,20,1.31,RM Recife,PE,Pernambuco,Nordeste,Brasil,1524313.0,1144.26,0.664,0.772,0.698,0.825,0.798
VITÓRIA DA CONQUISTA,293330.0,2933307.0,4,1.31,n/d,BA,Bahia,Nordeste,Brasil,304599.0,555.66,0.493,0.678,0.581,0.788,0.681
FRANCISCO MORATO,351630.0,3516309.0,2,1.3,RM São Paulo,SP,São Paulo,Sudeste,Brasil,154059.0,483.98,0.508,0.703,0.647,0.815,0.659
MARABÁ,150420.0,1504208.0,3,1.29,n/d,PA,Pará,Norte,Brasil,232030.0,527.86,0.508,0.668,0.564,0.785,0.673
ÁGUAS LINDAS DE GOIÁS,520025.0,5200258.0,2,1.26,RIDE DF,GO,Goiás,Centro-Oeste,Brasil,158508.0,449.38,0.488,0.686,0.588,0.848,0.647
CAMAÇARI,290570.0,2905701.0,3,1.24,RM Salvador,BA,Bahia,Nordeste,Brasil,242015.0,553.18,0.578,0.694,0.616,0.798,0.681
FERRAZ DE VASCONCELOS,351570.0,3515707.0,2,1.19,RM São Paulo,SP,São Paulo,Sudeste,Brasil,168022.0,587.83,0.585,0.738,0.703,0.828,0.691
CASTANHAL,150240.0,1502400.0,2,1.16,RM Belém,PA,Pará,Norte,Brasil,172265.0,467.32,0.536,0.673,0.582,0.8,0.654
PRAIA GRANDE,354100.0,3541000.0,3,1.15,n/d,SP,São Paulo,Sudeste,Brasil,261424.0,820.97,0.633,0.754,0.692,0.834,0.744
SALVADOR,292740.0,2927408.0,29,1.09,RM Salvador,BA,Bahia,Nordeste,Brasil,2650633.0,973.0,0.697,0.759,0.679,0.835,0.772
CAMPOS DOS GOYTACAZES,330100.0,3301009.0,5,1.09,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,460592.0,682.59,0.555,0.716,0.619,0.83,0.715
ILHÉUS,291360.0,2913606.0,2,1.09,n/d,BA,Bahia,Nordeste,Brasil,183184.0,579.46,0.528,0.69,0.59,0.808,0.688
DIADEMA,351380.0,3513801.0,4,1.04,RM São Paulo,SP,São Paulo,Sudeste,Brasil,385473.0,694.55,0.627,0.757,0.716,0.844,0.717
PARNAMIRIM,240325.0,2403251.0,2,1.0,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,200906.0,850.44,0.682,0.766,0.726,0.825,0.75
SANTA LUZIA,315780.0,3157807.0,2,0.99,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,202170.0,557.62,0.53,0.715,0.625,0.859,0.682
TRINDADE,522140.0,5221403.0,1,0.97,n/d,GO,Goiás,Centro-Oeste,Brasil,103609.0,558.61,0.507,0.699,0.608,0.822,0.682
MAUÁ,352940.0,3529401.0,4,0.96,RM São Paulo,SP,São Paulo,Sudeste,Brasil,415015.0,709.25,0.641,0.766,0.733,0.852,0.721
AÇAILÂNDIA,210005.0,2100055.0,1,0.96,n/d,MA,Maranhão,Nordeste,Brasil,103752.0,438.56,0.464,0.672,0.602,0.785,0.643
COLOMBO,410580.0,4105805.0,2,0.94,RM Curitiba,PR,Paraná,Sul,Brasil,212419.0,682.85,0.526,0.733,0.632,0.87,0.715
ITAQUAQUECETUBA,352310.0,3523107.0,3,0.93,RM São Paulo,SP,São Paulo,Sudeste,Brasil,321198.0,502.85,0.542,0.714,0.648,0.844,0.665
ITABORAÍ,330190.0,3301900.0,2,0.92,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,217364.0,584.35,0.528,0.693,0.593,0.813,0.69
VOTORANTIM,355700.0,3557006.0,1,0.92,n/d,SP,São Paulo,Sudeste,Brasil,108590.0,703.99,0.64,0.767,0.747,0.838,0.72
SÃO VICENTE,355100.0,3551009.0,3,0.91,n/d,SP,São Paulo,Sudeste,Brasil,330341.0,789.32,0.65,0.768,0.716,0.857,0.738
SÃO GONÇALO,330490.0,3304904.0,9,0.9,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,996948.0,669.3,0.645,0.739,0.681,0.833,0.711
BRAGANÇA,150170.0,1501709.0,1,0.89,n/d,PA,Pará,Norte,Brasil,112709.0,311.97,0.399,0.6,0.486,0.755,0.589
FORTALEZA,230440.0,2304400.0,21,0.87,RM Fortaleza,CE,Ceará,Nordeste,Brasil,2427422.0,846.36,0.658,0.754,0.695,0.824,0.749
SÃO JOÃO DE MERITI,330510.0,3305109.0,4,0.87,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,458238.0,597.57,0.614,0.719,0.646,0.831,0.693
ITAPIPOCA,230640.0,2306405.0,1,0.87,n/d,CE,Ceará,Nordeste,Brasil,115450.0,264.08,0.456,0.64,0.613,0.761,0.562
JI-PARANÁ,110012.0,1100122.0,1,0.86,n/d,RO,Rondônia,Norte,Brasil,115896.0,743.35,0.532,0.714,0.617,0.81,0.728
CRATO,230420.0,2304202.0,1,0.83,n/d,CE,Ceará,Nordeste,Brasil,120655.0,470.46,0.568,0.713,0.673,0.822,0.655
IMPERATRIZ,210530.0,2105302.0,2,0.81,n/d,MA,Maranhão,Nordeste,Brasil,246317.0,613.87,0.617,0.731,0.698,0.803,0.697
SABARÁ,315670.0,3156700.0,1,0.79,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,125980.0,619.93,0.561,0.731,0.67,0.833,0.699
CAMPINA GRANDE,250400.0,2504009.0,3,0.78,n/d,PB,Paraíba,Nordeste,Brasil,382571.0,630.03,0.574,0.72,0.654,0.812,0.702
VITÓRIA DE SANTO ANTÃO,261640.0,2616407.0,1,0.77,n/d,PE,Pernambuco,Nordeste,Brasil,129301.0,401.16,0.401,0.64,0.543,0.768,0.629
NOVA IGUAÇU,330350.0,3303500.0,6,0.75,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,795259.0,591.0,0.604,0.713,0.641,0.818,0.691
SERRA,320500.0,3205002.0,3,0.74,n/d,ES,Espírito Santo,Sudeste,Brasil,407614.0,705.89,0.614,0.739,0.664,0.844,0.72
PETROLINA,261110.0,2611101.0,2,0.69,n/d,PE,Pernambuco,Nordeste,Brasil,291908.0,605.06,0.536,0.697,0.611,0.799,0.695
RIBEIRÃO DAS NEVES,315460.0,3154606.0,2,0.69,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,291880.0,479.77,0.462,0.684,0.591,0.822,0.658
ARAGUAÍNA,170210.0,1702109.0,1,0.67,n/d,TO,Tocantins,Norte,Brasil,149300.0,737.63,0.639,0.752,0.712,0.821,0.727
ITAPECERICA DA SERRA,352220.0,3522208.0,1,0.67,RM São Paulo,SP,São Paulo,Sudeste,Brasil,148965.0,619.82,0.58,0.742,0.687,0.852,0.699
CARUARU,260410.0,2604106.0,2,0.64,n/d,PE,Pernambuco,Nordeste,Brasil,313111.0,553.99,0.468,0.677,0.569,0.799,0.681
NILÓPOLIS,330320.0,3303203.0,1,0.64,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,157151.0,755.26,0.715,0.753,0.716,0.817,0.731
IBIRITÉ,312980.0,3129806.0,1,0.63,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,158712.0,525.64,0.486,0.704,0.616,0.84,0.673
LAURO DE FREITAS,291920.0,2919207.0,1,0.62,RM Salvador,BA,Bahia,Nordeste,Brasil,161401.0,1031.78,0.667,0.754,0.663,0.827,0.781
SOBRAL,231290.0,2312908.0,1,0.54,n/d,CE,Ceará,Nordeste,Brasil,186474.0,448.89,0.543,0.714,0.675,0.832,0.647
HORTOLÂNDIA,351907.0,3519071.0,1,0.53,n/d,SP,São Paulo,Sudeste,Brasil,188117.0,686.96,0.59,0.756,0.703,0.859,0.716
SUMARÉ,355240.0,3552403.0,1,0.41,n/d,SP,São Paulo,Sudeste,Brasil,241007.0,820.03,0.6,0.762,0.705,0.845,0.744
OLINDA,260960.0,2609600.0,1,0.27,RM Recife,PE,Pernambuco,Nordeste,Brasil,376158.0,640.13,0.64,0.735,0.675,0.836,0.704
BELFORD ROXO,330045.0,3300456.0,1,0.21,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,468774.0,491.51,0.549,0.684,0.598,0.808,0.662
JABOATÃO DOS GUARARAPES,260790.0,2607901.0,1,0.16,RM Recife,PE,Pernambuco,Nordeste,Brasil,642986.0,593.9,0.585,0.717,0.642,0.83,0.692
