cidade,jornal,online,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
SANTARÉM,4,1,n/d,PA,Pará,Norte,Brasil,293064.0,409.07,0.569,0.691,0.648,0.807,0.632
TERESINA,4,17,n/d,PI,Piauí,Nordeste,Brasil,806168.0,757.57,0.642,0.751,0.707,0.82,0.731
CIANORTE,4,1,n/d,PR,Paraná,Sul,Brasil,69698.0,837.13,0.549,0.755,0.685,0.841,0.747
FRANCISCO BELTRÃO,4,2,n/d,PR,Paraná,Sul,Brasil,77938.0,895.36,0.609,0.774,0.726,0.844,0.758
GUARAPUAVA,4,4,n/d,PR,Paraná,Sul,Brasil,165849.0,750.09,0.519,0.731,0.628,0.853,0.73
PATO BRANCO,4,1,n/d,PR,Paraná,Sul,Brasil,71860.0,1013.22,0.627,0.782,0.728,0.845,0.778
PINHAIS,4,0,RM Curitiba,PR,Paraná,Sul,Brasil,116153.0,911.51,0.604,0.751,0.666,0.836,0.761
RIO BRANCO DO SUL,4,0,RM Curitiba,PR,Paraná,Sul,Brasil,30647.0,548.8,0.414,0.679,0.545,0.847,0.679
CASIMIRO DE ABREU,4,0,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,35180.0,768.45,0.568,0.726,0.642,0.811,0.734
ITAGUAÍ,4,0,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,108802.0,635.5,0.575,0.715,0.638,0.814,0.703
MACAÉ,4,1,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,206005.0,1103.42,0.678,0.764,0.681,0.828,0.792
MIGUEL PEREIRA,4,1,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,24530.0,801.63,0.561,0.745,0.675,0.828,0.74
NOVA IGUAÇU,4,2,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,795259.0,591.0,0.604,0.713,0.641,0.818,0.691
PARAÍBA DO SUL,4,0,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,40927.0,613.56,0.527,0.702,0.61,0.812,0.697
RIO DAS OSTRAS,4,0,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,104951.0,1051.19,0.665,0.773,0.689,0.854,0.784
SAQUAREMA,4,0,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,73920.0,681.62,0.566,0.709,0.621,0.804,0.714
SÃO JOÃO DE MERITI,4,0,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,458238.0,597.57,0.614,0.719,0.646,0.831,0.693
MOSSORÓ,4,3,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,258460.0,600.28,0.565,0.72,0.663,0.811,0.694
BOA VISTA,4,2,n/d,RR,Roraima,Norte,Brasil,281538.0,786.55,0.687,0.752,0.708,0.816,0.737
ALEGRETE,4,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,76994.0,705.29,0.567,0.74,0.664,0.849,0.72
CANELA,4,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,38874.0,787.78,0.562,0.748,0.667,0.849,0.738
CAPÃO DA CANOA,4,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,41830.0,884.47,0.585,0.743,0.637,0.852,0.756
CAÇAPAVA DO SUL,4,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,33339.0,618.98,0.456,0.704,0.585,0.855,0.699
ENCANTADO,4,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,20415.0,931.47,0.542,0.767,0.687,0.858,0.764
ESTÂNCIA VELHA,4,0,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,42455.0,848.45,0.543,0.757,0.652,0.887,0.749
FREDERICO WESTPHALEN,4,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,28568.0,875.03,0.55,0.76,0.688,0.846,0.754
HORIZONTINA,4,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,18290.0,1037.04,0.587,0.783,0.716,0.858,0.782
IBIRUBÁ,4,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,19187.0,1062.3,0.511,0.765,0.671,0.848,0.786
NOVA PETRÓPOLIS,4,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,18852.0,994.67,0.522,0.78,0.688,0.89,0.775
OSÓRIO,4,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,40807.0,957.94,0.567,0.751,0.646,0.853,0.769
PANAMBI,4,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,37837.0,864.44,0.574,0.761,0.691,0.848,0.752
RESTINGA SECA,4,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,15743.0,660.14,0.419,0.683,0.542,0.828,0.709
SANTA MARIA,4,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,258667.0,1127.25,0.683,0.784,0.715,0.848,0.795
SANTO ÂNGELO,4,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,75626.0,936.27,0.58,0.772,0.696,0.863,0.765
SÃO PEDRO DO SUL,4,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,16314.0,614.89,0.447,0.709,0.619,0.824,0.698
SÃO SEPÉ,4,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,23625.0,656.77,0.43,0.708,0.576,0.871,0.708
TRAMANDAÍ,4,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,41406.0,737.84,0.534,0.719,0.606,0.842,0.727
TRIUNFO,4,0,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,25715.0,695.08,0.494,0.733,0.629,0.873,0.717
TRÊS PASSOS,4,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,23429.0,823.33,0.555,0.768,0.71,0.858,0.745
CAPIVARI DE BAIXO,4,0,n/d,SC,Santa Catarina,Sul,Brasil,21618.0,723.04,0.615,0.767,0.716,0.87,0.724
CAÇADOR,4,2,n/d,SC,Santa Catarina,Sul,Brasil,70361.0,744.28,0.516,0.735,0.62,0.878,0.728
IÇARA,4,0,n/d,SC,Santa Catarina,Sul,Brasil,58666.0,759.54,0.511,0.741,0.645,0.861,0.732
PORTO UNIÃO,4,0,n/d,SC,Santa Catarina,Sul,Brasil,33342.0,864.41,0.593,0.786,0.724,0.891,0.752
SÃO FRANCISCO DO SUL,4,0,n/d,SC,Santa Catarina,Sul,Brasil,42245.0,801.49,0.634,0.762,0.699,0.856,0.74
ADAMANTINA,4,0,n/d,SP,São Paulo,Sudeste,Brasil,33490.0,975.43,0.608,0.79,0.75,0.852,0.772
AGUAÍ,4,0,n/d,SP,São Paulo,Sudeste,Brasil,32089.0,636.07,0.467,0.715,0.606,0.858,0.703
ATIBAIA,4,1,n/d,SP,São Paulo,Sudeste,Brasil,125501.0,1063.52,0.58,0.765,0.67,0.851,0.786
AVARÉ,4,0,n/d,SP,São Paulo,Sudeste,Brasil,80833.0,854.42,0.582,0.767,0.695,0.866,0.751
BEBEDOURO,4,0,n/d,SP,São Paulo,Sudeste,Brasil,74728.0,881.64,0.594,0.78,0.735,0.853,0.756
CAPIVARI,4,0,n/d,SP,São Paulo,Sudeste,Brasil,47858.0,820.46,0.547,0.75,0.669,0.848,0.744
CÂNDIDO MOTA,4,0,n/d,SP,São Paulo,Sudeste,Brasil,29731.0,627.55,0.532,0.747,0.704,0.845,0.701
DIADEMA,4,0,RM São Paulo,SP,São Paulo,Sudeste,Brasil,385473.0,694.55,0.627,0.757,0.716,0.844,0.717
ITU,4,4,n/d,SP,São Paulo,Sudeste,Brasil,153310.0,1038.14,0.621,0.773,0.692,0.854,0.782
ITUVERAVA,4,0,n/d,SP,São Paulo,Sudeste,Brasil,38583.0,950.39,0.573,0.765,0.694,0.841,0.768
JABOTICABAL,4,0,n/d,SP,São Paulo,Sudeste,Brasil,70863.0,1015.51,0.597,0.778,0.71,0.851,0.778
MAUÁ,4,0,RM São Paulo,SP,São Paulo,Sudeste,Brasil,415015.0,709.25,0.641,0.766,0.733,0.852,0.721
PRESIDENTE PRUDENTE,4,3,n/d,SP,São Paulo,Sudeste,Brasil,205558.0,1080.22,0.674,0.806,0.774,0.858,0.788
REGISTRO,4,1,n/d,SP,São Paulo,Sudeste,Brasil,54129.0,699.41,0.572,0.754,0.702,0.851,0.718
RIBEIRÃO PIRES,4,0,RM São Paulo,SP,São Paulo,Sudeste,Brasil,112775.0,847.11,0.684,0.784,0.76,0.847,0.749
SALTO,4,0,n/d,SP,São Paulo,Sudeste,Brasil,105198.0,876.67,0.632,0.78,0.751,0.837,0.755
SÃO JOÃO DA BOA VISTA,4,0,n/d,SP,São Paulo,Sudeste,Brasil,83244.0,998.31,0.624,0.797,0.749,0.871,0.776
TATUÍ,4,0,n/d,SP,São Paulo,Sudeste,Brasil,106912.0,771.05,0.57,0.752,0.688,0.842,0.734
VALINHOS,4,0,n/d,SP,São Paulo,Sudeste,Brasil,106411.0,1570.91,0.673,0.819,0.763,0.85,0.848
MACAPÁ,3,4,n/d,AP,Amapá,Norte,Brasil,395465.0,717.88,0.679,0.733,0.663,0.82,0.723
BARREIRAS,3,1,n/d,BA,Bahia,Nordeste,Brasil,136670.0,602.82,0.596,0.721,0.668,0.807,0.695
GUANAMBI,3,0,n/d,BA,Bahia,Nordeste,Brasil,78399.0,496.05,0.455,0.673,0.584,0.789,0.663
IRECÊ,3,0,n/d,BA,Bahia,Nordeste,Brasil,65844.0,488.15,0.514,0.691,0.643,0.776,0.661
JUAZEIRO,3,1,n/d,BA,Bahia,Nordeste,Brasil,197031.0,476.58,0.511,0.677,0.594,0.796,0.657
PORTO SEGURO,3,0,n/d,BA,Bahia,Nordeste,Brasil,125914.0,527.04,0.499,0.676,0.572,0.801,0.673
JUAZEIRO DO NORTE,3,3,n/d,CE,Ceará,Nordeste,Brasil,248222.0,439.53,0.528,0.694,0.642,0.81,0.644
ANCHIETA,3,0,n/d,ES,Espírito Santo,Sudeste,Brasil,23799.0,608.42,0.526,0.73,0.654,0.856,0.696
LINHARES,3,0,n/d,ES,Espírito Santo,Sudeste,Brasil,139823.0,711.38,0.531,0.724,0.63,0.834,0.721
PINHEIROS,3,0,n/d,ES,Espírito Santo,Sudeste,Brasil,23809.0,509.45,0.377,0.673,0.558,0.816,0.668
SÃO GABRIEL DA PALHA,3,0,n/d,ES,Espírito Santo,Sudeste,Brasil,31623.0,792.54,0.445,0.709,0.578,0.835,0.739
SÃO MATEUS,3,0,n/d,ES,Espírito Santo,Sudeste,Brasil,108223.0,699.99,0.557,0.735,0.655,0.843,0.719
LUZIÂNIA,3,0,RIDE DF,GO,Goiás,Centro-Oeste,Brasil,173474.0,580.88,0.51,0.701,0.602,0.831,0.689
PIRES DO RIO,3,0,n/d,GO,Goiás,Centro-Oeste,Brasil,28628.0,702.46,0.515,0.744,0.65,0.88,0.719
VALPARAÍSO DE GOIÁS,3,0,RIDE DF,GO,Goiás,Centro-Oeste,Brasil,132705.0,764.73,0.663,0.746,0.695,0.815,0.733
ALMENARA,3,0,n/d,MG,Minas Gerais,Sudeste,Brasil,38452.0,419.98,0.37,0.642,0.518,0.803,0.636
ALÉM PARAÍBA,3,0,n/d,MG,Minas Gerais,Sudeste,Brasil,34233.0,674.5,0.517,0.726,0.626,0.857,0.713
ARCOS,3,0,n/d,MG,Minas Gerais,Sudeste,Brasil,36383.0,691.16,0.536,0.749,0.671,0.874,0.717
BAMBUÍ,3,0,n/d,MG,Minas Gerais,Sudeste,Brasil,22555.0,777.46,0.481,0.741,0.636,0.87,0.735
CAETÉ,3,1,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,40470.0,586.16,0.538,0.728,0.663,0.844,0.69
CARANGOLA,3,0,n/d,MG,Minas Gerais,Sudeste,Brasil,32065.0,618.24,0.436,0.695,0.573,0.837,0.699
CARATINGA,3,0,n/d,MG,Minas Gerais,Sudeste,Brasil,84526.0,610.29,0.451,0.706,0.603,0.836,0.697
FORMIGA,3,1,n/d,MG,Minas Gerais,Sudeste,Brasil,64484.0,746.8,0.507,0.755,0.676,0.874,0.729
GUAXUPÉ,3,1,n/d,MG,Minas Gerais,Sudeste,Brasil,49148.0,746.7,0.524,0.751,0.659,0.88,0.729
JANAÚBA,3,0,n/d,MG,Minas Gerais,Sudeste,Brasil,66381.0,468.29,0.475,0.696,0.649,0.796,0.654
JOÃO MONLEVADE,3,1,n/d,MG,Minas Gerais,Sudeste,Brasil,73350.0,724.4,0.592,0.758,0.708,0.849,0.724
LAGOA DA PRATA,3,0,n/d,MG,Minas Gerais,Sudeste,Brasil,45628.0,707.01,0.471,0.732,0.655,0.832,0.72
LUZ,3,0,n/d,MG,Minas Gerais,Sudeste,Brasil,17356.0,720.88,0.461,0.724,0.63,0.833,0.723
MARIANA,3,0,n/d,MG,Minas Gerais,Sudeste,Brasil,53910.0,641.84,0.595,0.742,0.664,0.874,0.705
NOVA ERA,3,0,n/d,MG,Minas Gerais,Sudeste,Brasil,17450.0,532.58,0.497,0.709,0.639,0.825,0.675
PARACATU,3,0,n/d,MG,Minas Gerais,Sudeste,Brasil,84327.0,637.8,0.556,0.744,0.685,0.854,0.704
PEDRO LEOPOLDO,3,0,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,58479.0,721.11,0.583,0.757,0.7,0.856,0.723
SANTA BÁRBARA,3,0,n/d,MG,Minas Gerais,Sudeste,Brasil,27796.0,535.84,0.542,0.707,0.642,0.816,0.676
SANTOS DUMONT,3,0,n/d,MG,Minas Gerais,Sudeste,Brasil,46132.0,578.64,0.553,0.741,0.697,0.847,0.688
UBÁ,3,0,n/d,MG,Minas Gerais,Sudeste,Brasil,101130.0,739.56,0.503,0.724,0.62,0.841,0.727
UNAÍ,3,0,RIDE DF,MG,Minas Gerais,Sudeste,Brasil,76546.0,720.51,0.488,0.736,0.651,0.847,0.723
COXIM,3,2,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,32041.0,703.01,0.45,0.703,0.579,0.836,0.719
TRÊS LAGOAS,3,3,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,101171.0,863.66,0.579,0.744,0.645,0.849,0.752
COLÍDER,3,0,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,30525.0,758.67,0.423,0.713,0.604,0.819,0.732
CÁCERES,3,2,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,87269.0,590.43,0.525,0.708,0.633,0.813,0.691
SINOP,3,2,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,112124.0,877.68,0.571,0.754,0.682,0.832,0.755
SORRISO,3,0,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,66131.0,988.74,0.516,0.744,0.635,0.839,0.774
MARABÁ,3,0,n/d,PA,Pará,Norte,Brasil,232030.0,527.86,0.508,0.668,0.564,0.785,0.673
GARANHUNS,3,1,n/d,PE,Pernambuco,Nordeste,Brasil,128786.0,492.44,0.466,0.664,0.556,0.795,0.662
CAMPO MOURÃO,3,2,n/d,PR,Paraná,Sul,Brasil,86898.0,843.42,0.575,0.757,0.689,0.841,0.749
GUAÍRA,3,1,n/d,PR,Paraná,Sul,Brasil,30447.0,795.84,0.482,0.724,0.615,0.836,0.739
LAPA,3,1,RM Curitiba,PR,Paraná,Sul,Brasil,44798.0,608.6,0.448,0.706,0.595,0.848,0.696
MEDIANEIRA,3,1,n/d,PR,Paraná,Sul,Brasil,41568.0,914.67,0.546,0.763,0.686,0.849,0.762
PALOTINA,3,1,n/d,PR,Paraná,Sul,Brasil,28550.0,904.85,0.569,0.768,0.689,0.864,0.76
PARANAGUÁ,3,0,n/d,PR,Paraná,Sul,Brasil,139894.0,765.85,0.592,0.75,0.676,0.852,0.733
PONTA GROSSA,3,8,n/d,PR,Paraná,Sul,Brasil,309810.0,877.1,0.614,0.763,0.703,0.837,0.755
SÃO MIGUEL DO IGUAÇU,3,0,n/d,PR,Paraná,Sul,Brasil,25649.0,734.88,0.414,0.704,0.588,0.818,0.726
TELÊMACO BORBA,3,0,n/d,PR,Paraná,Sul,Brasil,69602.0,732.78,0.54,0.734,0.657,0.828,0.726
UNIÃO DA VITÓRIA,3,1,n/d,PR,Paraná,Sul,Brasil,52491.0,674.29,0.562,0.74,0.68,0.837,0.713
ARMAÇÃO DOS BÚZIOS,3,0,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,27276.0,851.39,0.58,0.728,0.624,0.824,0.75
ARRAIAL DO CABO,3,0,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,27627.0,714.47,0.627,0.733,0.677,0.805,0.722
CAMPOS DOS GOYTACAZES,3,2,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,460592.0,682.59,0.555,0.716,0.619,0.83,0.715
CORDEIRO,3,0,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,20407.0,724.29,0.581,0.729,0.649,0.826,0.724
MAGÉ,3,1,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,226225.0,567.59,0.545,0.709,0.626,0.832,0.685
MESQUITA,3,0,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,168234.0,640.37,0.662,0.737,0.678,0.839,0.704
NOVA FRIBURGO,3,1,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,181153.0,894.75,0.55,0.745,0.645,0.846,0.758
PORCIÚNCULA,3,0,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,17686.0,615.63,0.472,0.697,0.606,0.802,0.698
RIO BONITO,3,0,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,54869.0,643.54,0.525,0.71,0.62,0.819,0.705
TRÊS RIOS,3,0,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,77133.0,726.83,0.597,0.725,0.656,0.801,0.725
VALENÇA,3,0,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,71332.0,675.62,0.581,0.738,0.666,0.848,0.713
ARIQUEMES,3,3,n/d,RO,Rondônia,Norte,Brasil,89766.0,689.95,0.514,0.702,0.6,0.806,0.716
CACOAL,3,0,n/d,RO,Rondônia,Norte,Brasil,78141.0,738.06,0.488,0.718,0.62,0.821,0.727
ROLIM DE MOURA,3,2,n/d,RO,Rondônia,Norte,Brasil,50379.0,657.65,0.474,0.7,0.598,0.808,0.709
CACHOEIRA DO SUL,3,1,n/d,RS,Rio Grande do Sul,Sul,Brasil,83072.0,793.67,0.539,0.742,0.648,0.854,0.739
CAMPO BOM,3,0,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,59572.0,879.65,0.52,0.745,0.643,0.852,0.755
CANDELÁRIA,3,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,29867.0,620.92,0.377,0.674,0.521,0.842,0.699
ERECHIM,3,2,n/d,RS,Rio Grande do Sul,Sul,Brasil,95232.0,1038.39,0.629,0.776,0.716,0.833,0.782
ESTRELA,3,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,30512.0,1002.78,0.578,0.767,0.684,0.85,0.776
GARIBALDI,3,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,30501.0,1355.37,0.58,0.786,0.688,0.856,0.825
GRAMADO,3,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,31974.0,1045.52,0.575,0.764,0.662,0.861,0.783
IGREJINHA,3,0,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,31455.0,848.23,0.444,0.721,0.571,0.876,0.749
IVOTI,3,1,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,19764.0,1025.02,0.606,0.784,0.729,0.848,0.78
MARAU,3,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,36196.0,980.92,0.61,0.774,0.699,0.857,0.773
PALMEIRA DAS MISSÕES,3,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,33927.0,715.29,0.526,0.737,0.667,0.831,0.722
QUARAÍ,3,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,22926.0,528.64,0.505,0.704,0.609,0.852,0.673
SANTIAGO,3,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,48579.0,828.78,0.578,0.766,0.682,0.882,0.746
SAPUCAIA DO SUL,3,0,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,130595.0,733.28,0.589,0.726,0.624,0.844,0.726
SÃO BORJA,3,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,61136.0,705.72,0.527,0.736,0.643,0.86,0.72
SÃO JERÔNIMO,3,0,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,21841.0,768.93,0.465,0.696,0.56,0.822,0.734
SÃO LUIZ GONZAGA,3,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,34268.0,698.77,0.528,0.741,0.664,0.855,0.718
TAPEJARA,3,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,19141.0,922.28,0.527,0.76,0.688,0.837,0.763
TAQUARI,3,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,25869.0,786.91,0.533,0.733,0.629,0.849,0.737
TEUTÔNIA,3,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,27165.0,854.63,0.527,0.747,0.65,0.855,0.751
TUPANCIRETÃ,3,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,22161.0,708.79,0.468,0.709,0.596,0.828,0.721
VACARIA,3,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,60849.0,797.86,0.527,0.721,0.605,0.838,0.74
CAMPOS NOVOS,3,0,n/d,SC,Santa Catarina,Sul,Brasil,32596.0,708.77,0.522,0.742,0.658,0.861,0.721
CAPINZAL,3,2,n/d,SC,Santa Catarina,Sul,Brasil,20648.0,811.66,0.518,0.752,0.659,0.869,0.742
ITUPORANGA,3,1,n/d,SC,Santa Catarina,Sul,Brasil,22157.0,844.05,0.458,0.748,0.638,0.876,0.749
JAGUARUNA,3,1,n/d,SC,Santa Catarina,Sul,Brasil,17280.0,701.05,0.446,0.721,0.628,0.83,0.719
MARAVILHA,3,0,n/d,SC,Santa Catarina,Sul,Brasil,21897.0,896.02,0.562,0.781,0.708,0.886,0.758
PAPANDUVA,3,1,n/d,SC,Santa Catarina,Sul,Brasil,17882.0,589.35,0.394,0.704,0.603,0.836,0.691
POMERODE,3,2,n/d,SC,Santa Catarina,Sul,Brasil,27548.0,1022.91,0.558,0.78,0.687,0.886,0.78
SEARA,3,2,n/d,SC,Santa Catarina,Sul,Brasil,16884.0,1188.18,0.505,0.779,0.674,0.872,0.804
SOMBRIO,3,2,n/d,SC,Santa Catarina,Sul,Brasil,26590.0,746.69,0.475,0.728,0.617,0.858,0.729
SÃO JOAQUIM,3,1,n/d,SC,Santa Catarina,Sul,Brasil,24778.0,641.75,0.457,0.687,0.562,0.817,0.705
TAIÓ,3,2,n/d,SC,Santa Catarina,Sul,Brasil,17065.0,848.34,0.491,0.761,0.67,0.879,0.749
TRÊS BARRAS,3,0,n/d,SC,Santa Catarina,Sul,Brasil,18091.0,539.69,0.514,0.706,0.639,0.814,0.677
XAXIM,3,0,n/d,SC,Santa Catarina,Sul,Brasil,25674.0,783.29,0.494,0.752,0.662,0.871,0.737
ARARAS,3,0,n/d,SP,São Paulo,Sudeste,Brasil,117824.0,921.76,0.617,0.781,0.728,0.859,0.763
ARAÇATUBA,3,2,n/d,SP,São Paulo,Sudeste,Brasil,180537.0,1036.09,0.643,0.788,0.744,0.841,0.782
BERTIOGA,3,0,n/d,SP,São Paulo,Sudeste,Brasil,47239.0,736.03,0.542,0.73,0.654,0.817,0.727
CAIEIRAS,3,0,RM São Paulo,SP,São Paulo,Sudeste,Brasil,86294.0,800.15,0.644,0.781,0.749,0.861,0.74
CAMPO LIMPO PAULISTA,3,0,n/d,SP,São Paulo,Sudeste,Brasil,73614.0,767.85,0.637,0.769,0.739,0.84,0.733
CERQUILHO,3,0,n/d,SP,São Paulo,Sudeste,Brasil,39409.0,894.52,0.606,0.782,0.739,0.854,0.758
CONCHAS,3,0,n/d,SP,São Paulo,Sudeste,Brasil,16191.0,730.42,0.491,0.736,0.658,0.837,0.725
ESPÍRITO SANTO DO PINHAL,3,0,n/d,SP,São Paulo,Sudeste,Brasil,41568.0,1048.6,0.575,0.787,0.712,0.872,0.784
FRANCA,3,3,n/d,SP,São Paulo,Sudeste,Brasil,317558.0,846.57,0.631,0.78,0.753,0.842,0.749
GUARAREMA,3,0,RM São Paulo,SP,São Paulo,Sudeste,Brasil,25691.0,748.79,0.551,0.731,0.656,0.817,0.729
IBIÚNA,3,0,n/d,SP,São Paulo,Sudeste,Brasil,70850.0,624.55,0.433,0.71,0.614,0.832,0.7
ITAPEVA,3,0,n/d,SP,São Paulo,Sudeste,Brasil,87462.0,630.48,0.546,0.732,0.697,0.803,0.702
ITAPEVI,3,0,RM São Paulo,SP,São Paulo,Sudeste,Brasil,200590.0,575.72,0.554,0.735,0.677,0.855,0.687
ITAPIRA,3,2,n/d,SP,São Paulo,Sudeste,Brasil,67517.0,849.81,0.558,0.762,0.692,0.852,0.75
ITAQUAQUECETUBA,3,0,RM São Paulo,SP,São Paulo,Sudeste,Brasil,321198.0,502.85,0.542,0.714,0.648,0.844,0.665
ITATIBA,3,0,n/d,SP,São Paulo,Sudeste,Brasil,101022.0,1080.74,0.599,0.778,0.708,0.844,0.788
JALES,3,0,n/d,SP,São Paulo,Sudeste,Brasil,46877.0,850.11,0.567,0.776,0.73,0.855,0.75
JANDIRA,3,0,RM São Paulo,SP,São Paulo,Sudeste,Brasil,108193.0,792.33,0.609,0.76,0.706,0.841,0.738
JARDINÓPOLIS,3,0,n/d,SP,São Paulo,Sudeste,Brasil,37596.0,742.74,0.537,0.735,0.64,0.853,0.728
JARINU,3,0,n/d,SP,São Paulo,Sudeste,Brasil,23797.0,718.61,0.508,0.733,0.659,0.826,0.723
JOSÉ BONIFÁCIO,3,0,n/d,SP,São Paulo,Sudeste,Brasil,32661.0,863.34,0.542,0.777,0.717,0.869,0.752
LIMEIRA,3,1,n/d,SP,São Paulo,Sudeste,Brasil,275032.0,910.85,0.61,0.775,0.719,0.852,0.761
MIRASSOL,3,0,n/d,SP,São Paulo,Sudeste,Brasil,53576.0,841.27,0.577,0.762,0.698,0.846,0.748
MONTE ALTO,3,0,n/d,SP,São Paulo,Sudeste,Brasil,46499.0,832.6,0.546,0.768,0.707,0.859,0.746
PARAGUAÇU PAULISTA,3,1,n/d,SP,São Paulo,Sudeste,Brasil,40879.0,694.42,0.577,0.762,0.739,0.836,0.717
PEDREIRA,3,0,n/d,SP,São Paulo,Sudeste,Brasil,41401.0,853.76,0.574,0.769,0.701,0.864,0.75
PERUÍBE,3,1,n/d,SP,São Paulo,Sudeste,Brasil,59434.0,753.85,0.576,0.749,0.675,0.854,0.73
PINDAMONHANGABA,3,2,n/d,SP,São Paulo,Sudeste,Brasil,146392.0,826.02,0.663,0.773,0.736,0.843,0.745
PRAIA GRANDE,3,0,n/d,SP,São Paulo,Sudeste,Brasil,261424.0,820.97,0.633,0.754,0.692,0.834,0.744
RIO DAS PEDRAS,3,0,n/d,SP,São Paulo,Sudeste,Brasil,29409.0,804.0,0.602,0.759,0.7,0.842,0.741
SANTA CRUZ DO RIO PARDO,3,0,n/d,SP,São Paulo,Sudeste,Brasil,43593.0,818.3,0.544,0.762,0.686,0.867,0.744
SANTO ANTÔNIO DE POSSE,3,0,n/d,SP,São Paulo,Sudeste,Brasil,20591.0,695.67,0.426,0.702,0.576,0.838,0.718
SUZANO,3,3,RM São Paulo,SP,São Paulo,Sudeste,Brasil,261357.0,654.61,0.62,0.765,0.723,0.873,0.708
SÃO CARLOS,3,5,n/d,SP,São Paulo,Sudeste,Brasil,220666.0,1079.45,0.693,0.805,0.766,0.863,0.788
SÃO PEDRO,3,0,n/d,SP,São Paulo,Sudeste,Brasil,31561.0,803.02,0.539,0.755,0.674,0.863,0.741
