cidade,meio,cod_municipal,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
ARARUAMA,Jornal,330020,10,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,111398,680.88,0.556,0.718,0.617,0.839,0.714
SÃO CAETANO DO SUL,Jornal,354880,10,RM São Paulo,SP,São Paulo,Sudeste,Brasil,148195,2043.74,0.762,0.862,0.811,0.887,0.891
MARINGÁ,Jornal,411520,10,n/d,PR,Paraná,Sul,Brasil,354512,1202.63,0.691,0.808,0.768,0.852,0.806
BALNEÁRIO CAMBORIÚ,Jornal,420200,10,n/d,SC,Santa Catarina,Sul,Brasil,107149,1625.59,0.763,0.845,0.789,0.894,0.854
ITAJAÍ,Jornal,420820,10,n/d,SC,Santa Catarina,Sul,Brasil,182637,1014.0,0.646,0.795,0.73,0.884,0.778
JOINVILLE,Jornal,420910,10,n/d,SC,Santa Catarina,Sul,Brasil,512406,1126.74,0.709,0.809,0.749,0.889,0.795
CANOAS,Jornal,430460,10,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,322949,952.13,0.646,0.75,0.636,0.864,0.768
CATALÃO,Jornal,520510,10,n/d,GO,Goiás,Centro-Oeste,Brasil,86253,959.4,0.613,0.766,0.715,0.819,0.769
BARUERI,Jornal,350570,9,RM São Paulo,SP,São Paulo,Sudeste,Brasil,240055,1095.84,0.631,0.786,0.708,0.866,0.791
INDAIATUBA,Jornal,352050,9,n/d,SP,São Paulo,Sudeste,Brasil,201009,1098.31,0.657,0.788,0.738,0.837,0.791
RIO CLARO,Jornal,354390,9,n/d,SP,São Paulo,Sudeste,Brasil,185172,1049.16,0.671,0.803,0.766,0.862,0.784
UMUARAMA,Jornal,412810,9,n/d,PR,Paraná,Sul,Brasil,99898,880.6,0.567,0.761,0.698,0.836,0.755
ARARANGUÁ,Jornal,420140,9,n/d,SC,Santa Catarina,Sul,Brasil,60793,827.2,0.565,0.76,0.691,0.853,0.745
RIO DO SUL,Jornal,421480,9,n/d,SC,Santa Catarina,Sul,Brasil,60758,1114.31,0.612,0.802,0.727,0.894,0.793
SÃO JOSÉ,Jornal,421660,9,n/d,SC,Santa Catarina,Sul,Brasil,208673,1157.43,0.728,0.809,0.752,0.88,0.799
CACHOEIRINHA,Jornal,430310,9,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,117991,844.04,0.66,0.757,0.675,0.857,0.749
RIO BRANCO,Jornal,120040,8,n/d,AC,Acre,Norte,Brasil,333052,744.67,0.607,0.727,0.661,0.798,0.729
RECIFE,Jornal,261160,8,RM Recife,PE,Pernambuco,Nordeste,Brasil,1524313,1144.26,0.664,0.772,0.698,0.825,0.798
NOVA VENÉCIA,Jornal,320390,8,n/d,ES,Espírito Santo,Sudeste,Brasil,45632,592.06,0.473,0.712,0.621,0.841,0.692
PIRACICABA,Jornal,353870,8,n/d,SP,São Paulo,Sudeste,Brasil,363011,1143.2,0.64,0.785,0.717,0.848,0.797
TAUBATÉ,Jornal,355410,8,n/d,SP,São Paulo,Sudeste,Brasil,276215,1011.95,0.682,0.8,0.746,0.883,0.778
CORNÉLIO PROCÓPIO,Jornal,410640,8,n/d,PR,Paraná,Sul,Brasil,46608,828.19,0.593,0.759,0.692,0.848,0.746
LONDRINA,Jornal,411370,8,n/d,PR,Paraná,Sul,Brasil,503548,1083.35,0.649,0.778,0.712,0.837,0.789
JARAGUÁ DO SUL,Jornal,420890,8,n/d,SC,Santa Catarina,Sul,Brasil,142186,1111.85,0.687,0.803,0.755,0.865,0.793
ALVORADA,Jornal,430060,8,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,194977,600.48,0.563,0.699,0.564,0.874,0.694
CRUZ ALTA,Jornal,430610,8,n/d,RS,Rio Grande do Sul,Sul,Brasil,62352,871.81,0.591,0.75,0.653,0.858,0.754
SÃO LEOPOLDO,Jornal,431870,8,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,213161,939.93,0.599,0.739,0.612,0.861,0.766
VIAMÃO,Jornal,432300,8,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,237679,707.05,0.576,0.717,0.591,0.866,0.72
MACEIÓ,Jornal,270430,7,n/d,AL,Alagoas,Nordeste,Brasil,924611,792.54,0.591,0.721,0.635,0.799,0.739
SÃO GONÇALO,Jornal,330490,7,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,996948,669.3,0.645,0.739,0.681,0.833,0.711
ANDRADINA,Jornal,350210,7,n/d,SP,São Paulo,Sudeste,Brasil,54242,919.36,0.58,0.779,0.702,0.885,0.762
GUARATINGUETÁ,Jornal,351840,7,n/d,SP,São Paulo,Sudeste,Brasil,111540,926.78,0.673,0.798,0.751,0.886,0.764
JUNDIAÍ,Jornal,352590,7,n/d,SP,São Paulo,Sudeste,Brasil,368777,1431.55,0.674,0.822,0.768,0.866,0.834
MARÍLIA,Jornal,352900,7,n/d,SP,São Paulo,Sudeste,Brasil,213999,953.2,0.673,0.798,0.776,0.854,0.768
OURINHOS,Jornal,353470,7,n/d,SP,São Paulo,Sudeste,Brasil,102702,868.91,0.601,0.778,0.727,0.859,0.753
POÁ,Jornal,353980,7,RM São Paulo,SP,São Paulo,Sudeste,Brasil,105717,664.31,0.677,0.771,0.754,0.856,0.71
SÃO JOSÉ DO RIO PRETO,Jornal,354980,7,n/d,SP,São Paulo,Sudeste,Brasil,405342,1169.16,0.661,0.797,0.748,0.846,0.801
