regiao,meio,veiculos_mapeados,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
Sudeste,Online,975,Brasil,257116.0,920.51,0.672,0.771,0.72,0.833,0.763
Sul,Online,367,Brasil,19117.0,594.42,0.436,0.687,0.594,0.79,0.692
Centro-Oeste,Online,258,Brasil,251845.0,668.86,0.604,0.734,0.661,0.842,0.711
Nordeste,Online,187,Brasil,304599.0,555.66,0.493,0.678,0.581,0.788,0.681
Norte,Online,103,Brasil,75614.0,768.98,0.554,0.731,0.659,0.808,0.734
