meio,cidade,uf,veiculos_mapeados,T_ANALF15M,T_SUPER25M,ESPVIDA,MORT1,T_ENV,PIND,PMPOB,GINI,R1040,R2040,RDPC,POP,PESO65,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,IDHM
Online,SUZANO,SP,3,4.85,8.45,77.36,12.12,5.49,1.91,8.54,0.47,11.1,7.87,654.61,261357.0,14409.0,0.62,0.723,0.873,0.708,0.765
Online,TABOÃO DA SERRA,SP,3,3.97,11.18,76.79,11.75,4.9,1.62,4.72,0.47,10.72,7.66,812.19,243983.0,11986.0,0.653,0.71,0.863,0.742,0.769
Online,MARINGÁ,PR,3,3.27,20.01,76.1,11.05,8.08,0.29,1.39,0.49,11.62,7.93,1202.63,354512.0,28866.0,0.691,0.768,0.852,0.806,0.808
Online,UMUARAMA,PR,3,6.15,13.15,75.16,12.5,8.51,0.59,2.79,0.48,11.26,7.8,880.6,99898.0,8568.0,0.567,0.698,0.836,0.755,0.761
Online,PALHOÇA,SC,3,3.9,8.16,76.55,12.35,4.85,0.61,2.18,0.4,7.3,5.46,862.74,136699.0,6664.0,0.609,0.672,0.859,0.752,0.757
Online,NOVO HAMBURGO,RS,3,3.36,9.58,76.11,12.26,7.37,0.82,3.91,0.53,14.39,9.61,1011.62,237941.0,17601.0,0.552,0.629,0.852,0.778,0.747
Online,CORUMBÁ,MS,3,6.35,10.27,75.06,17.75,6.21,4.34,16.11,0.55,17.44,11.84,627.1,102596.0,6443.0,0.546,0.586,0.834,0.701,0.7
Online,TRÊS LAGOAS,MS,3,6.43,13.5,75.91,15.76,6.67,1.33,4.85,0.51,12.9,8.77,863.66,101171.0,6785.0,0.579,0.645,0.849,0.752,0.744
Online,LUCAS DO RIO VERDE,MT,3,3.26,10.71,74.96,15.4,2.21,1.45,2.64,0.46,10.07,7.1,938.65,45306.0,1007.0,0.624,0.71,0.833,0.766,0.768
Online,ROLIM DE MOURA,RO,2,9.04,8.47,73.46,16.9,5.56,3.96,10.77,0.53,15.02,10.14,657.65,50379.0,2818.0,0.474,0.598,0.808,0.709,0.7
Online,BOA VISTA,RR,2,5.83,12.99,73.95,15.39,3.29,5.03,13.61,0.58,20.58,14.13,786.55,281538.0,9351.0,0.687,0.708,0.816,0.737,0.752
Online,EUSÉBIO,CE,2,13.49,6.25,72.66,19.2,5.14,5.6,22.03,0.65,28.14,17.12,623.01,45707.0,2364.0,0.525,0.621,0.794,0.7,0.701
Online,CAMPINA GRANDE,PB,2,11.68,12.69,73.73,17.3,7.79,5.02,16.34,0.58,19.64,12.94,630.03,382571.0,30016.0,0.574,0.654,0.812,0.702,0.72
Online,ARAPIRACA,AL,2,22.45,6.2,71.82,22.0,6.19,11.15,26.65,0.55,17.14,11.73,423.28,212874.0,13256.0,0.42,0.549,0.78,0.638,0.649
Online,CAMAÇARI,BA,2,7.78,5.24,72.9,17.37,3.64,6.01,16.39,0.53,15.4,10.45,553.18,242015.0,8847.0,0.578,0.616,0.798,0.681,0.694
Online,CANDEIAS,BA,2,9.08,2.76,74.39,15.8,4.93,7.22,17.44,0.48,11.78,8.47,462.57,82844.0,4100.0,0.563,0.616,0.823,0.652,0.691
Online,SÃO GONÇALO DOS CAMPOS,BA,2,15.03,2.21,70.14,27.0,7.72,8.81,23.86,0.55,16.85,10.66,419.27,33208.0,2570.0,0.419,0.516,0.752,0.636,0.627
Online,VITÓRIA DA CONQUISTA,BA,2,13.31,8.07,72.3,21.24,6.94,5.6,18.07,0.55,16.64,11.12,555.66,304599.0,21295.0,0.493,0.581,0.788,0.681,0.678
Online,ITUIUTABA,MG,2,8.45,10.3,75.37,14.2,10.47,1.14,4.16,0.5,12.57,8.39,824.46,96689.0,10169.0,0.513,0.644,0.84,0.745,0.739
Online,MONTES CLAROS,MG,2,6.25,13.28,77.07,13.04,6.07,2.71,11.99,0.53,15.37,10.48,650.62,359278.0,21972.0,0.646,0.744,0.868,0.707,0.77
Online,PASSOS,MG,2,5.52,11.25,78.15,10.35,8.41,0.9,4.42,0.49,12.14,8.28,802.97,105700.0,8944.0,0.525,0.658,0.886,0.741,0.756
Online,PATOS DE MINAS,MG,2,5.36,12.17,76.31,14.47,7.98,0.87,4.55,0.5,12.79,8.66,843.57,138003.0,11071.0,0.576,0.698,0.855,0.749,0.765
Online,CAMPOS DOS GOYTACAZES,RJ,2,6.85,10.38,74.82,14.72,8.11,3.67,13.49,0.55,17.38,11.8,682.59,460592.0,37610.0,0.555,0.619,0.83,0.715,0.716
Online,MANGARATIBA,RJ,2,4.1,10.08,75.71,13.1,8.12,1.6,6.71,0.51,13.31,9.22,832.15,36300.0,2959.0,0.63,0.676,0.845,0.746,0.753
Online,NOVA IGUAÇU,RJ,2,4.63,6.5,74.08,15.35,6.96,3.38,10.56,0.48,11.36,8.12,591.0,795259.0,55432.0,0.604,0.641,0.818,0.691,0.713
Online,SÃO GONÇALO,RJ,2,3.58,7.12,74.96,14.55,7.97,1.55,6.19,0.43,9.06,6.74,669.3,996948.0,79651.0,0.645,0.681,0.833,0.711,0.739
Online,SÃO JOÃO DA BARRA,RJ,2,9.8,4.66,73.02,16.9,9.16,3.69,11.99,0.48,11.57,8.32,570.38,32518.0,2998.0,0.426,0.551,0.8,0.686,0.671
Online,VOLTA REDONDA,RJ,2,3.3,15.23,74.98,14.15,8.36,1.47,4.77,0.5,12.95,9.02,920.51,257116.0,21559.0,0.672,0.72,0.833,0.763,0.771
Online,AMERICANA,SP,2,2.74,15.4,77.55,10.77,8.73,0.32,1.39,0.47,10.39,7.32,1161.68,209811.0,18388.0,0.651,0.76,0.876,0.8,0.811
Online,ARAÇATUBA,SP,2,3.83,15.88,75.46,15.28,9.77,0.63,3.14,0.52,14.1,9.29,1036.09,180537.0,17749.0,0.643,0.744,0.841,0.782,0.788
Online,ASSIS,SP,2,4.11,17.67,76.91,11.0,9.95,0.33,3.24,0.5,12.41,8.53,967.39,93038.0,9471.0,0.689,0.781,0.865,0.771,0.805
Online,CARAGUATATUBA,SP,2,4.7,11.27,75.68,12.6,7.36,1.67,6.41,0.5,12.92,8.82,773.99,99908.0,7418.0,0.609,0.705,0.845,0.735,0.759
Online,CATANDUVA,SP,2,4.67,14.86,76.2,12.43,10.73,0.62,2.35,0.46,10.08,7.0,945.05,112210.0,12104.0,0.611,0.74,0.853,0.767,0.785
Online,COTIA,SP,2,4.42,15.62,76.05,11.93,5.02,1.43,4.72,0.57,18.49,12.14,1085.66,199437.0,10099.0,0.639,0.707,0.851,0.789,0.78
Online,INDAIATUBA,SP,2,3.38,15.04,75.22,13.37,6.88,0.17,1.43,0.47,10.75,7.57,1098.31,201009.0,13878.0,0.657,0.738,0.837,0.791,0.788
Online,ITAPIRA,SP,2,5.74,11.84,76.1,13.1,9.82,0.72,2.78,0.45,9.41,6.71,849.81,67517.0,6728.0,0.558,0.692,0.852,0.75,0.762
Online,MOGI GUAÇU,SP,2,4.31,10.46,76.1,13.41,7.75,0.56,2.94,0.44,9.03,6.43,802.19,136821.0,10640.0,0.598,0.736,0.852,0.74,0.774
Online,PINDAMONHANGABA,SP,2,3.87,12.03,75.58,12.9,6.55,1.32,6.79,0.52,13.95,9.54,826.02,146392.0,9633.0,0.663,0.736,0.843,0.745,0.773
Online,ALMIRANTE TAMANDARÉ,PR,2,6.06,5.54,75.39,12.96,4.37,1.01,4.89,0.43,8.57,6.12,646.02,103008.0,4512.0,0.496,0.575,0.84,0.706,0.699
Online,ALTÔNIA,PR,2,10.18,5.43,75.88,11.6,10.71,0.86,5.23,0.38,6.72,5.14,585.49,20376.0,2198.0,0.428,0.641,0.848,0.69,0.721
Online,CAMPO LARGO,PR,2,4.48,9.1,76.21,12.16,6.09,1.47,4.25,0.45,9.6,6.89,749.21,111827.0,6839.0,0.528,0.664,0.854,0.73,0.745
Online,CAMPO MOURÃO,PR,2,7.29,13.87,75.44,12.1,7.53,1.23,4.58,0.5,12.5,8.65,843.42,86898.0,6567.0,0.575,0.689,0.841,0.749,0.757
Online,FRANCISCO BELTRÃO,PR,2,5.68,12.25,75.65,11.7,6.87,1.2,4.38,0.47,10.65,7.53,895.36,77938.0,5426.0,0.609,0.726,0.844,0.758,0.774
Online,GOIOERÊ,PR,2,10.64,9.75,75.97,11.5,9.41,1.85,6.14,0.48,11.6,8.15,707.58,28869.0,2730.0,0.49,0.639,0.85,0.72,0.731
Online,IRATI,PR,2,4.56,8.75,75.11,13.4,7.94,1.89,6.79,0.49,11.68,8.09,685.81,55969.0,4461.0,0.476,0.64,0.835,0.715,0.726
Online,LARANJEIRAS DO SUL,PR,2,8.47,10.02,75.11,12.6,7.78,4.6,14.43,0.54,15.97,10.92,659.33,30561.0,2394.0,0.43,0.594,0.835,0.709,0.706
Online,MARECHAL CÂNDIDO RONDON,PR,2,3.84,11.16,75.51,12.38,8.56,0.58,2.15,0.53,14.4,9.15,1036.38,46592.0,4008.0,0.563,0.704,0.842,0.782,0.774
Online,SÃO JOSÉ DOS PINHAIS,PR,2,3.4,10.37,76.53,10.63,4.61,0.66,2.56,0.45,9.5,6.77,846.93,263194.0,12193.0,0.617,0.678,0.859,0.749,0.758
Online,TOLEDO,PR,2,4.6,13.48,76.3,12.12,6.84,0.78,2.88,0.46,10.27,7.2,876.72,118908.0,8161.0,0.586,0.702,0.855,0.755,0.768
Online,CAÇADOR,SC,2,5.93,9.82,77.65,10.2,6.32,1.6,6.93,0.48,11.64,8.04,744.28,70361.0,4473.0,0.516,0.62,0.878,0.728,0.735
Online,CANOINHAS,SC,2,4.34,10.68,77.42,10.4,7.06,2.43,8.63,0.49,12.42,8.54,692.87,52405.0,3724.0,0.567,0.692,0.874,0.717,0.757
Online,CAPINZAL,SC,2,5.59,8.88,77.11,10.8,6.74,0.5,2.99,0.45,9.48,6.48,811.66,20648.0,1400.0,0.518,0.659,0.869,0.742,0.752
Online,CHAPECÓ,SC,2,4.45,13.67,77.25,10.6,5.37,0.65,2.7,0.48,11.09,7.6,1017.34,181705.0,9860.0,0.63,0.727,0.871,0.779,0.79
Online,LAGES,SC,2,5.02,13.94,77.04,10.71,7.71,1.57,6.24,0.54,16.26,10.78,878.34,156106.0,12090.0,0.608,0.697,0.867,0.755,0.77
Online,POMERODE,SC,2,1.68,10.84,78.14,9.6,8.29,0.19,0.81,0.38,6.94,4.97,1022.91,27548.0,2300.0,0.558,0.687,0.886,0.78,0.78
Online,SEARA,SC,2,5.2,8.57,77.32,10.5,7.88,0.67,1.47,0.51,13.22,8.4,1188.18,16884.0,1334.0,0.505,0.674,0.872,0.804,0.779
Online,SOMBRIO,SC,2,5.39,7.39,76.49,11.6,6.65,0.28,2.09,0.4,7.6,5.45,746.69,26590.0,1770.0,0.475,0.617,0.858,0.729,0.728
Online,TAIÓ,SC,2,4.47,8.59,77.71,10.1,8.4,0.36,1.81,0.43,8.58,5.96,848.34,17065.0,1450.0,0.491,0.67,0.879,0.749,0.761
Online,TIMBÓ,SC,2,1.82,13.32,76.36,11.7,7.75,,0.38,0.47,10.6,6.91,1214.03,36602.0,2851.0,0.601,0.697,0.856,0.807,0.784
Online,TUBARÃO,SC,2,3.33,14.65,76.96,11.0,7.91,0.73,1.71,0.47,10.64,7.23,1077.62,96823.0,7687.0,0.648,0.74,0.866,0.788,0.796
Online,CANOAS,RS,2,2.61,10.35,76.83,10.62,7.49,0.93,4.4,0.51,12.99,8.99,952.13,322949.0,24239.0,0.646,0.636,0.864,0.768,0.75
Online,CAXIAS DO SUL,RS,2,2.34,13.51,76.58,11.19,7.07,0.36,1.72,0.48,11.56,7.97,1253.93,433304.0,30796.0,0.668,0.686,0.86,0.812,0.782
Online,ERECHIM,RS,2,3.27,13.79,74.95,12.8,8.6,1.08,3.29,0.48,11.23,7.72,1038.39,95232.0,8261.0,0.629,0.716,0.833,0.782,0.776
Online,FLORES DA CUNHA,RS,2,3.16,8.74,75.95,11.5,8.38,0.48,1.12,0.44,8.89,6.42,1062.06,27005.0,2274.0,0.519,0.642,0.849,0.786,0.754
Online,PASSO FUNDO,RS,2,3.58,16.92,75.95,11.73,8.04,0.83,3.63,0.52,14.28,9.78,1068.95,183407.0,14861.0,0.663,0.699,0.849,0.787,0.776
Online,PELOTAS,RS,2,4.12,13.49,75.64,12.39,10.39,2.1,7.56,0.54,16.32,10.97,894.35,326650.0,34095.0,0.58,0.632,0.844,0.758,0.739
Online,RIO GRANDE,RS,2,4.62,11.22,76.66,10.6,9.27,1.57,6.99,0.51,14.07,9.78,859.2,195482.0,18285.0,0.584,0.637,0.861,0.752,0.744
Online,VIAMÃO,RS,2,4.19,5.83,76.95,9.38,7.39,1.85,7.08,0.47,11.04,7.71,707.05,237679.0,17695.0,0.576,0.591,0.866,0.72,0.717
Online,COXIM,MS,2,10.46,8.95,75.17,17.5,7.4,1.7,8.47,0.51,13.78,9.53,703.01,32041.0,2379.0,0.45,0.579,0.836,0.719,0.703
Online,NOVA ANDRADINA,MS,2,8.52,10.51,75.97,16.1,6.33,2.54,8.27,0.48,11.81,8.25,688.15,44985.0,2887.0,0.496,0.616,0.85,0.716,0.721
Online,CÁCERES,MT,2,10.18,9.73,73.76,17.4,6.39,4.69,14.28,0.53,15.02,10.26,590.43,87269.0,5621.0,0.525,0.633,0.813,0.691,0.708
Online,SINOP,MT,2,5.07,11.19,74.93,15.5,3.67,0.82,3.28,0.49,11.94,8.26,877.68,112124.0,4154.0,0.571,0.682,0.832,0.755,0.754
Online,ANÁPOLIS,GO,2,5.77,11.49,74.33,15.14,6.67,1.0,5.74,0.5,13.13,8.95,785.17,333067.0,22319.0,0.609,0.66,0.822,0.737,0.737
Online,RIO VERDE,GO,2,6.45,10.84,76.17,11.68,5.2,1.15,4.43,0.54,15.65,10.14,936.75,175474.0,9176.0,0.556,0.656,0.853,0.765,0.754
Online,JARU,RO,1,10.66,6.94,74.51,14.6,5.62,4.32,13.78,0.49,12.32,8.71,575.14,51715.0,2923.0,0.43,0.577,0.825,0.687,0.689
Online,JI-PARANÁ,RO,1,7.79,8.73,73.6,16.2,5.05,2.67,8.56,0.53,15.26,10.15,743.35,115896.0,5887.0,0.532,0.617,0.81,0.728,0.714
Online,PIMENTA BUENO,RO,1,8.35,8.07,73.15,17.6,5.07,2.29,9.33,0.54,15.6,10.04,734.76,33611.0,1715.0,0.496,0.613,0.803,0.726,0.71
Online,PRESIDENTE MÉDICI,RO,1,12.17,5.06,72.51,19.2,7.07,9.3,19.39,0.53,14.88,10.43,520.2,22262.0,1579.0,0.38,0.55,0.792,0.671,0.664
Online,CANDEIAS DO JAMARI,RO,1,10.98,3.94,74.11,15.4,3.96,7.14,15.8,0.47,10.64,7.78,463.63,19681.0,784.0,0.433,0.512,0.819,0.652,0.649
Online,ATALAIA DO NORTE,AM,1,35.5,2.74,68.95,28.6,2.87,44.75,63.67,0.65,62.27,43.05,159.21,15078.0,435.0,0.229,0.259,0.733,0.481,0.45
Online,IRANDUBA,AM,1,13.24,3.88,72.94,17.8,4.83,16.69,34.86,0.56,19.24,13.15,349.23,40642.0,1970.0,0.4,0.476,0.799,0.607,0.613
Online,ALTAMIRA,PA,1,12.45,5.9,73.64,17.27,4.39,11.25,22.38,0.56,18.36,12.61,492.05,98183.0,4354.0,0.461,0.548,0.811,0.662,0.665
Online,MONTE ALEGRE,PA,1,14.27,2.92,70.86,24.4,6.23,31.58,51.73,0.59,25.34,18.25,231.65,55260.0,3457.0,0.364,0.495,0.764,0.541,0.589
