id,meio,nome,cidade,regiao_metropolitana,uf,estado,regiao,pais,fonte,T_ANALF15M,T_SUPER25M,ESPVIDA,MORT1,T_ENV,PIND,PMPOB,GINI,R1040,R2040,RDPC,POP,PESO65,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,IDHM
id2473,Jornal,O ECO DO VALE,BENTO GONÇALVES,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,2.23,13.36,75.52,12.1,8.42,0.34,1.31,0.44,9.39,6.6,1196.56,106666.0,9029.0,0.614,0.695,0.842,0.805,0.778
id2474,Jornal,"NOITE, FESTA & INFORMAÇÃO",BENTO GONÇALVES,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,2.23,13.36,75.52,12.1,8.42,0.34,1.31,0.44,9.39,6.6,1196.56,106666.0,9029.0,0.614,0.695,0.842,0.805,0.778
id2475,Jornal,INTEGRAÇAO DA SERRA,BENTO GONÇALVES,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,2.23,13.36,75.52,12.1,8.42,0.34,1.31,0.44,9.39,6.6,1196.56,106666.0,9029.0,0.614,0.695,0.842,0.805,0.778
id2476,Jornal,GAZETA,BENTO GONÇALVES,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,2.23,13.36,75.52,12.1,8.42,0.34,1.31,0.44,9.39,6.6,1196.56,106666.0,9029.0,0.614,0.695,0.842,0.805,0.778
id5168,Jornal,INTEGRAÇÃO DA SERRA,BENTO GONÇALVES,n/d,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs,2.23,13.36,75.52,12.1,8.42,0.34,1.31,0.44,9.39,6.6,1196.56,106666.0,9029.0,0.614,0.695,0.842,0.805,0.778
id5169,Jornal,JORNAL SEMANÁRIO,BENTO GONÇALVES,n/d,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs,2.23,13.36,75.52,12.1,8.42,0.34,1.31,0.44,9.39,6.6,1196.56,106666.0,9029.0,0.614,0.695,0.842,0.805,0.778
id4023,Jornal,EDIÇAO EXTRA,BERTIOGA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,5.46,8.34,74.03,16.3,4.78,1.44,5.64,0.48,11.29,8.02,736.03,47239.0,2278.0,0.542,0.654,0.817,0.727,0.73
id4024,Jornal,JORNAL 19 DE MAIO,BERTIOGA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,5.46,8.34,74.03,16.3,4.78,1.44,5.64,0.48,11.29,8.02,736.03,47239.0,2278.0,0.542,0.654,0.817,0.727,0.73
id4025,Jornal,COSTA NORTE,BERTIOGA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,5.46,8.34,74.03,16.3,4.78,1.44,5.64,0.48,11.29,8.02,736.03,47239.0,2278.0,0.542,0.654,0.817,0.727,0.73
id2765,Online,BIGUAÇU EM FOCO,BIGUAÇU,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,4.61,7.21,75.17,13.3,5.63,0.5,2.64,0.39,6.93,5.28,764.37,58014.0,3275.0,0.58,0.659,0.836,0.733,0.739
id2904,Jornal,PLANETA DIÁRIO,BIGUAÇU,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,4.61,7.21,75.17,13.3,5.63,0.5,2.64,0.39,6.93,5.28,764.37,58014.0,3275.0,0.58,0.659,0.836,0.733,0.739
id2905,Jornal,BIGUAÇU EM FOCO,BIGUAÇU,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,4.61,7.21,75.17,13.3,5.63,0.5,2.64,0.39,6.93,5.28,764.37,58014.0,3275.0,0.58,0.659,0.836,0.733,0.739
id2906,Jornal,NOTICIAS DE BIGUAÇU,BIGUAÇU,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,4.61,7.21,75.17,13.3,5.63,0.5,2.64,0.39,6.93,5.28,764.37,58014.0,3275.0,0.58,0.659,0.836,0.733,0.739
id2907,Jornal,JORNAL INDEPENDENTE,BIGUAÇU,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,4.61,7.21,75.17,13.3,5.63,0.5,2.64,0.39,6.93,5.28,764.37,58014.0,3275.0,0.58,0.659,0.836,0.733,0.739
id2908,Jornal,BIGUÁ NEWS,BIGUAÇU,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,4.61,7.21,75.17,13.3,5.63,0.5,2.64,0.39,6.93,5.28,764.37,58014.0,3275.0,0.58,0.659,0.836,0.733,0.739
id4026,Jornal,ACONTECE,BIRITIBA-MIRIM,RM São Paulo,SP,São Paulo,Sudeste,Brasil,Secom/PR,8.79,4.87,72.7,18.5,7.55,1.08,9.77,0.53,14.42,9.32,662.23,28531.0,2156.0,0.484,0.64,0.795,0.71,0.712
id1647,Jornal,GAZETA BITURINENSE,BITURUNA,n/d,PR,Paraná,Sul,Brasil,Secom/PR,8.07,5.24,74.72,13.1,6.02,7.64,21.04,0.49,12.61,8.83,443.43,15817.0,956.0,0.387,0.556,0.829,0.645,0.667
id2766,Online,JORNAL DE SANTA CATARINA,BLUMENAU,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,1.77,15.49,78.64,8.55,6.3,0.12,1.02,0.46,10.27,6.99,1253.17,306393.0,19478.0,0.659,0.722,0.894,0.812,0.806
id2909,Jornal,PALAVRA CRISTÃ,BLUMENAU,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,1.77,15.49,78.64,8.55,6.3,0.12,1.02,0.46,10.27,6.99,1253.17,306393.0,19478.0,0.659,0.722,0.894,0.812,0.806
id2911,Jornal,VITRINE,BLUMENAU,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,1.77,15.49,78.64,8.55,6.3,0.12,1.02,0.46,10.27,6.99,1253.17,306393.0,19478.0,0.659,0.722,0.894,0.812,0.806
id2913,Jornal,JORNAL DE SANTA CATARINA,BLUMENAU,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,1.77,15.49,78.64,8.55,6.3,0.12,1.02,0.46,10.27,6.99,1253.17,306393.0,19478.0,0.659,0.722,0.894,0.812,0.806
id2914,Jornal,DIE ZEITUNG,BLUMENAU,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,1.77,15.49,78.64,8.55,6.3,0.12,1.02,0.46,10.27,6.99,1253.17,306393.0,19478.0,0.659,0.722,0.894,0.812,0.806
id2915,Jornal,A VOZ DA RAZÃO,BLUMENAU,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,1.77,15.49,78.64,8.55,6.3,0.12,1.02,0.46,10.27,6.99,1253.17,306393.0,19478.0,0.659,0.722,0.894,0.812,0.806
id2916,Jornal,JORNAL NITRO,BLUMENAU,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,1.77,15.49,78.64,8.55,6.3,0.12,1.02,0.46,10.27,6.99,1253.17,306393.0,19478.0,0.659,0.722,0.894,0.812,0.806
id2917,Jornal,JORNAL DA NOITE,BLUMENAU,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,1.77,15.49,78.64,8.55,6.3,0.12,1.02,0.46,10.27,6.99,1253.17,306393.0,19478.0,0.659,0.722,0.894,0.812,0.806
id2918,Jornal,FOLHA DE BLUMENAU,BLUMENAU,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,1.77,15.49,78.64,8.55,6.3,0.12,1.02,0.46,10.27,6.99,1253.17,306393.0,19478.0,0.659,0.722,0.894,0.812,0.806
id5380,Jornal,BLUMENAU E REGIÃO,BLUMENAU,n/d,SC,Santa Catarina,Sul,Brasil,Adjori-Sc,1.77,15.49,78.64,8.55,6.3,0.12,1.02,0.46,10.27,6.99,1253.17,306393.0,19478.0,0.659,0.722,0.894,0.812,0.806
id5381,Jornal,A GAZETA CATARINENSE,BLUMENAU,n/d,SC,Santa Catarina,Sul,Brasil,Adjori-Sc,1.77,15.49,78.64,8.55,6.3,0.12,1.02,0.46,10.27,6.99,1253.17,306393.0,19478.0,0.659,0.722,0.894,0.812,0.806
id5382,Jornal,JORNAL A VOZ DA RAZÃO,BLUMENAU,n/d,SC,Santa Catarina,Sul,Brasil,Adjori-Sc,1.77,15.49,78.64,8.55,6.3,0.12,1.02,0.46,10.27,6.99,1253.17,306393.0,19478.0,0.659,0.722,0.894,0.812,0.806
id2340,Online,PORTAL FOLHA BV,BOA VISTA,n/d,RR,Roraima,Norte,Brasil,Secom/PR,5.83,12.99,73.95,15.39,3.29,5.03,13.61,0.58,20.58,14.13,786.55,281538.0,9351.0,0.687,0.708,0.816,0.737,0.752
id2342,Jornal,RORAIMA HOJE,BOA VISTA,n/d,RR,Roraima,Norte,Brasil,Secom/PR,5.83,12.99,73.95,15.39,3.29,5.03,13.61,0.58,20.58,14.13,786.55,281538.0,9351.0,0.687,0.708,0.816,0.737,0.752
id2343,Jornal,JORNAL DE RORAIMA,BOA VISTA,n/d,RR,Roraima,Norte,Brasil,Secom/PR,5.83,12.99,73.95,15.39,3.29,5.03,13.61,0.58,20.58,14.13,786.55,281538.0,9351.0,0.687,0.708,0.816,0.737,0.752
id2344,Jornal,RORAIMA EM TEMPO,BOA VISTA,n/d,RR,Roraima,Norte,Brasil,Secom/PR,5.83,12.99,73.95,15.39,3.29,5.03,13.61,0.58,20.58,14.13,786.55,281538.0,9351.0,0.687,0.708,0.816,0.737,0.752
id4961,Online,GENTE EM PAUTA,BOA VISTA,n/d,RR,Roraima,Norte,Brasil,Atlas,5.83,12.99,73.95,15.39,3.29,5.03,13.61,0.58,20.58,14.13,786.55,281538.0,9351.0,0.687,0.708,0.816,0.737,0.752
id5791,Jornal,FOLHA DE BOA VISTA,BOA VISTA,n/d,RR,Roraima,Norte,Brasil,ANJ,5.83,12.99,73.95,15.39,3.29,5.03,13.61,0.58,20.58,14.13,786.55,281538.0,9351.0,0.687,0.708,0.816,0.737,0.752
id4027,Jornal,NOSSO JORNAL,BOITUVA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.93,12.09,76.67,12.3,6.55,0.94,4.2,0.49,11.7,8.12,889.51,48145.0,3164.0,0.587,0.728,0.861,0.757,0.78
id4028,Jornal,CIDADE DE BOITUVA,BOITUVA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.93,12.09,76.67,12.3,6.55,0.94,4.2,0.49,11.7,8.12,889.51,48145.0,3164.0,0.587,0.728,0.861,0.757,0.78
id2020,Jornal,JORNAL MAIS BOM JARDIM,BOM JARDIM,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,Secom/PR,10.74,6.68,73.56,16.1,8.94,2.55,8.43,0.48,11.33,7.9,649.62,25181.0,2265.0,0.365,0.503,0.809,0.707,0.66
id2021,Jornal,A VOZ DO POVO,BOM JESUS DO ITABAPOANA,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,Secom/PR,9.76,11.41,74.16,15.2,10.47,3.41,10.53,0.56,17.75,11.68,717.69,35162.0,3707.0,0.538,0.662,0.819,0.723,0.732
id5170,Jornal,PRIMEIRA HORA,BOM PRINCÍPIO,n/d,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs,1.72,6.67,75.18,13.3,7.31,0.24,0.62,0.37,6.54,4.8,855.42,11727.0,862.0,0.524,0.661,0.836,0.751,0.746
id3256,Online,ACONTECE BOTUCATU,BOTUCATU,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.11,18.8,77.13,10.8,9.36,0.74,3.3,0.54,15.48,10.31,1089.1,126813.0,11913.0,0.653,0.746,0.869,0.79,0.8
id4029,Jornal,MAIS BOTUCATU,BOTUCATU,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.11,18.8,77.13,10.8,9.36,0.74,3.3,0.54,15.48,10.31,1089.1,126813.0,11913.0,0.653,0.746,0.869,0.79,0.8
id4030,Jornal,JORNAL DE BOTUCATU,BOTUCATU,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.11,18.8,77.13,10.8,9.36,0.74,3.3,0.54,15.48,10.31,1089.1,126813.0,11913.0,0.653,0.746,0.869,0.79,0.8
id4031,Jornal,UNIVERSO FEMININO,BOTUCATU,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.11,18.8,77.13,10.8,9.36,0.74,3.3,0.54,15.48,10.31,1089.1,126813.0,11913.0,0.653,0.746,0.869,0.79,0.8
id4032,Jornal,COLUNA AUE,BOTUCATU,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.11,18.8,77.13,10.8,9.36,0.74,3.3,0.54,15.48,10.31,1089.1,126813.0,11913.0,0.653,0.746,0.869,0.79,0.8
id4033,Jornal,DIARIO DA SERRA,BOTUCATU,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.11,18.8,77.13,10.8,9.36,0.74,3.3,0.54,15.48,10.31,1089.1,126813.0,11913.0,0.653,0.746,0.869,0.79,0.8
id2767,Online,FOLHA O JORNAL,BRAÇO DO NORTE,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,3.54,9.58,77.83,9.9,5.82,0.21,1.77,0.41,7.77,5.6,831.77,28879.0,1690.0,0.59,0.716,0.881,0.746,0.778
id2919,Jornal,NOTICIAS DO VALE,BRAÇO DO NORTE,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,3.54,9.58,77.83,9.9,5.82,0.21,1.77,0.41,7.77,5.6,831.77,28879.0,1690.0,0.59,0.716,0.881,0.746,0.778
id2920,Jornal,FOLHA O JORNAL (EX FOLHA DO VALE),BRAÇO DO NORTE,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,3.54,9.58,77.83,9.9,5.82,0.21,1.77,0.41,7.77,5.6,831.77,28879.0,1690.0,0.59,0.716,0.881,0.746,0.778
id2921,Jornal,REGIONAL SUL,BRAÇO DO NORTE,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,3.54,9.58,77.83,9.9,5.82,0.21,1.77,0.41,7.77,5.6,831.77,28879.0,1690.0,0.59,0.716,0.881,0.746,0.778
id2922,Jornal,DIARIO DO SUL,BRAÇO DO NORTE,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,3.54,9.58,77.83,9.9,5.82,0.21,1.77,0.41,7.77,5.6,831.77,28879.0,1690.0,0.59,0.716,0.881,0.746,0.778
id4953,Jornal,FOLHA DO VALE,BRAÇO DO NORTE,n/d,SC,Santa Catarina,Sul,Brasil,Atlas,3.54,9.58,77.83,9.9,5.82,0.21,1.77,0.41,7.77,5.6,831.77,28879.0,1690.0,0.59,0.716,0.881,0.746,0.778
id5383,Jornal,FOLHA O JORNAL,BRAÇO DO NORTE,n/d,SC,Santa Catarina,Sul,Brasil,Adjori-Sc,3.54,9.58,77.83,9.9,5.82,0.21,1.77,0.41,7.77,5.6,831.77,28879.0,1690.0,0.59,0.716,0.881,0.746,0.778
id5384,Jornal,NO PONTO,BRAÇO DO NORTE,n/d,SC,Santa Catarina,Sul,Brasil,Adjori-Sc,3.54,9.58,77.83,9.9,5.82,0.21,1.77,0.41,7.77,5.6,831.77,28879.0,1690.0,0.59,0.716,0.881,0.746,0.778
id1410,Jornal,TRIBUNA DE CAETE,BRAGANÇA,n/d,PA,Pará,Norte,Brasil,Secom/PR,15.64,4.47,70.27,26.1,5.38,20.59,41.59,0.58,21.21,14.11,311.97,112709.0,6092.0,0.399,0.486,0.755,0.589,0.6
id4034,Jornal,JP NOTICIAS - JORNAL PIONEIRO,BRAGANÇA PAULISTA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.37,14.93,76.67,10.62,8.61,0.7,3.22,0.52,13.71,9.17,974.08,145407.0,12638.0,0.623,0.704,0.861,0.772,0.776
id4035,Jornal,JORNAL DO MEIO,BRAGANÇA PAULISTA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.37,14.93,76.67,10.62,8.61,0.7,3.22,0.52,13.71,9.17,974.08,145407.0,12638.0,0.623,0.704,0.861,0.772,0.776
id4036,Jornal,EM DIA,BRAGANÇA PAULISTA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.37,14.93,76.67,10.62,8.61,0.7,3.22,0.52,13.71,9.17,974.08,145407.0,12638.0,0.623,0.704,0.861,0.772,0.776
id4038,Jornal,BRAGANÇA JORNAL,BRAGANÇA PAULISTA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.37,14.93,76.67,10.62,8.61,0.7,3.22,0.52,13.71,9.17,974.08,145407.0,12638.0,0.623,0.704,0.861,0.772,0.776
id4039,Jornal,JORNAL DA CIDADE,BRAGANÇA PAULISTA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.37,14.93,76.67,10.62,8.61,0.7,3.22,0.52,13.71,9.17,974.08,145407.0,12638.0,0.623,0.704,0.861,0.772,0.776
id5561,Jornal,GAZETA BRAGANTINA,BRAGANÇA PAULISTA,n/d,SP,São Paulo,Sudeste,Brasil,Adjori-SP,4.37,14.93,76.67,10.62,8.61,0.7,3.22,0.52,13.71,9.17,974.08,145407.0,12638.0,0.623,0.704,0.861,0.772,0.776
id224,Online,JORNAL REGIONAL,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id225,Online,CORREIO ECONOMICO,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id226,Online,CORREIO BRAZILIENSE,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id227,Online,BLOG EDGAR LISBOA,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id228,Online,W IMOVEIS,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id229,Online,AGENDA CAPITAL,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id230,Online,CAMARA EM PAUTA,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id231,Online,CANDANGO,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id232,Online,JORNAL BRASÍLIA AGORA,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id233,Online,MERX,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id234,Online,ABC POLITIKO,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id235,Online,BLOG DO SANDRO GIANELLI,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id236,Online,JORNAL LOTUS BEM ESTAR,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id237,Online,JORNAL DO PLANALTO,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id238,Online,AGITA BRASÍLIA,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id239,Online,MINISTERIO BETEL,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id240,Online,DE BOA.COM (BRASILIA),BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id241,Online,GAY1,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id242,Online,BRASIL NOTÍCIA,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id243,Online,ESTAÇÃO DA NOTÍCIA,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id244,Online,OS DIVERGENTES,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id245,Online,CEILANDIA EM ALERTA,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id246,Online,TRANSPARÊNCIA BRASIL,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id247,Online,BLOG  DA MARCIA (EX BLOG DA JORNALISTA MARCIA OLIVEIRA),BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id248,Online,BLOG IGUALDADE E IDENTIDADE,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id249,Online,EMBASSY BRASÍLIA,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id250,Online,JORNAL VOZ DAS RUAS,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id251,Online,WM FOR WOMEN AND MEN,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id252,Online,BUSINESS EVERYWHERE - BEW - WIFI,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id253,Online,BETEL VIDEO,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id254,Online,FINISSIMO,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id255,Online,BLOG ELDO GOMES,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id256,Online,JORNAL DO LAGO NORTE,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id257,Online,DINAMICA PUBLICA,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id258,Online,ABC DIGITAL,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id259,Online,BANCO DE SAUDE,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
id260,Online,BLOG DO EDSON SOMBRA,BRASÍLIA,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Secom/PR,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
