id,meio,nome,cidade,regiao_metropolitana,uf,estado,regiao,pais,fonte,T_ANALF15M,T_SUPER25M,ESPVIDA,MORT1,T_ENV,PIND,PMPOB,GINI,R1040,R2040,RDPC,POP,PESO65,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,IDHM
id3957,Jornal,CIDADE DE AGUDOS,AGUDOS,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,5.21,8.09,75.67,13.7,7.73,1.99,6.61,0.41,8.16,6.11,642.59,34140.0,2670.0,0.566,0.694,0.845,0.705,0.745
id111,Jornal,FOLHAO DA BAHIA,ALAGOINHAS,n/d,BA,Bahia,Nordeste,Brasil,Secom/PR,10.11,6.82,72.39,21.84,7.28,8.02,19.42,0.55,17.6,11.87,553.17,141312.0,10333.0,0.575,0.592,0.79,0.681,0.683
id112,Jornal,GAZETA DOS MUNICIPIOS,ALAGOINHAS,n/d,BA,Bahia,Nordeste,Brasil,Secom/PR,10.11,6.82,72.39,21.84,7.28,8.02,19.42,0.55,17.6,11.87,553.17,141312.0,10333.0,0.575,0.592,0.79,0.681,0.683
id63,Online,ALAGOINHAS HOJE,ALAGOINHAS,n/d,BA,Bahia,Nordeste,Brasil,Secom/PR,10.11,6.82,72.39,21.84,7.28,8.02,19.42,0.55,17.6,11.87,553.17,141312.0,10333.0,0.575,0.592,0.79,0.681,0.683
id2457,Jornal,DIARIO DE ALEGRETE,ALEGRETE,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,5.92,10.93,75.93,11.5,10.68,2.74,9.47,0.52,14.35,9.82,705.29,76994.0,8291.0,0.567,0.664,0.849,0.72,0.74
id2458,Jornal,EM QUESTAO,ALEGRETE,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,5.92,10.93,75.93,11.5,10.68,2.74,9.47,0.52,14.35,9.82,705.29,76994.0,8291.0,0.567,0.664,0.849,0.72,0.74
id2459,Jornal,EXPRESSO MINUANO,ALEGRETE,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,5.92,10.93,75.93,11.5,10.68,2.74,9.47,0.52,14.35,9.82,705.29,76994.0,8291.0,0.567,0.664,0.849,0.72,0.74
id5152,Jornal,GAZETA DE ALEGRETE,ALEGRETE,n/d,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs,5.92,10.93,75.93,11.5,10.68,2.74,9.47,0.52,14.35,9.82,705.29,76994.0,8291.0,0.567,0.664,0.849,0.72,0.74
id556,Jornal,CIDADE NOTICIA,ALEXÂNIA,RIDE DF,GO,Goiás,Centro-Oeste,Brasil,Secom/PR,11.73,5.46,75.48,12.5,7.11,5.14,13.88,0.46,10.39,7.46,498.09,23686.0,1693.0,0.449,0.568,0.841,0.664,0.682
id1517,Online,ATITUDE SUSTENTAVEL,ALMIRANTE TAMANDARÉ,RM Curitiba,PR,Paraná,Sul,Brasil,Secom/PR,6.06,5.54,75.39,12.96,4.37,1.01,4.89,0.43,8.57,6.12,646.02,103008.0,4512.0,0.496,0.575,0.84,0.706,0.699
id1632,Jornal,FOLHA DE TAMANDARÉ,ALMIRANTE TAMANDARÉ,RM Curitiba,PR,Paraná,Sul,Brasil,Secom/PR,6.06,5.54,75.39,12.96,4.37,1.01,4.89,0.43,8.57,6.12,646.02,103008.0,4512.0,0.496,0.575,0.84,0.706,0.699
id5086,Online,PORTAL TAMANDAREONLINE NOTÍCIAS,ALMIRANTE TAMANDARÉ,RM Curitiba,PR,Paraná,Sul,Brasil,Atlas,6.06,5.54,75.39,12.96,4.37,1.01,4.89,0.43,8.57,6.12,646.02,103008.0,4512.0,0.496,0.575,0.84,0.706,0.699
id1277,Online,ANJOS NOTICIAS,ALTA FLORESTA,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,Secom/PR,8.88,8.03,73.99,17.0,5.45,1.86,5.77,0.48,11.32,8.02,660.84,48593.0,2678.0,0.496,0.629,0.817,0.709,0.714
id1320,Jornal,O DIÁRIO,ALTA FLORESTA,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,Secom/PR,8.88,8.03,73.99,17.0,5.45,1.86,5.77,0.48,11.32,8.02,660.84,48593.0,2678.0,0.496,0.629,0.817,0.709,0.714
id1321,Jornal,MATO GROSSO DO NORTE,ALTA FLORESTA,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,Secom/PR,8.88,8.03,73.99,17.0,5.45,1.86,5.77,0.48,11.32,8.02,660.84,48593.0,2678.0,0.496,0.629,0.817,0.709,0.714
id1322,Jornal,JORNAL DA CIDADE,ALTA FLORESTA,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,Secom/PR,8.88,8.03,73.99,17.0,5.45,1.86,5.77,0.48,11.32,8.02,660.84,48593.0,2678.0,0.496,0.629,0.817,0.709,0.714
id1323,Jornal,GAZETA DO NORTAO,ALTA FLORESTA,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,Secom/PR,8.88,8.03,73.99,17.0,5.45,1.86,5.77,0.48,11.32,8.02,660.84,48593.0,2678.0,0.496,0.629,0.817,0.709,0.714
id1324,Jornal,ANJOS UNIVERSITARIO,ALTA FLORESTA,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,Secom/PR,8.88,8.03,73.99,17.0,5.45,1.86,5.77,0.48,11.32,8.02,660.84,48593.0,2678.0,0.496,0.629,0.817,0.709,0.714
id1393,Online,O XINGU,ALTAMIRA,n/d,PA,Pará,Norte,Brasil,Secom/PR,12.45,5.9,73.64,17.27,4.39,11.25,22.38,0.56,18.36,12.61,492.05,98183.0,4354.0,0.461,0.548,0.811,0.662,0.665
id3958,Jornal,TRIBUNA DE ALTINOPOLIS,ALTINÓPOLIS,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,6.08,10.87,75.57,13.9,9.93,0.44,2.84,0.45,9.42,6.55,731.49,15527.0,1550.0,0.475,0.635,0.843,0.726,0.73
id504,Online,O VETOR,ALTO PARAÍSO DE GOIÁS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR,11.16,11.44,74.16,14.3,5.32,5.27,17.22,0.65,28.43,17.19,719.11,6782.0,366.0,0.533,0.611,0.819,0.723,0.713
id557,Jornal,O VETOR,ALTO PARAÍSO DE GOIÁS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR,11.16,11.44,74.16,14.3,5.32,5.27,17.22,0.65,28.43,17.19,719.11,6782.0,366.0,0.533,0.611,0.819,0.723,0.713
id1518,Online,PORTAL ALTÔNIA,ALTÔNIA,n/d,PR,Paraná,Sul,Brasil,Secom/PR,10.18,5.43,75.88,11.6,10.71,0.86,5.23,0.38,6.72,5.14,585.49,20376.0,2198.0,0.428,0.641,0.848,0.69,0.721
id1519,Online,REDE DE PORTAIS AMERIOS,ALTÔNIA,n/d,PR,Paraná,Sul,Brasil,Secom/PR,10.18,5.43,75.88,11.6,10.71,0.86,5.23,0.38,6.72,5.14,585.49,20376.0,2198.0,0.428,0.641,0.848,0.69,0.721
id3959,Jornal,GAZETA DE ALUMINIO,ALUMÍNIO,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.6,5.97,75.47,14.0,6.0,1.68,5.73,0.42,8.43,6.09,747.27,16753.0,1011.0,0.639,0.732,0.841,0.729,0.766
id3960,Jornal,JORNAL DE ALUMINIO REGIONAL,ALUMÍNIO,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.6,5.97,75.47,14.0,6.0,1.68,5.73,0.42,8.43,6.09,747.27,16753.0,1011.0,0.639,0.732,0.841,0.729,0.766
id2462,Jornal,CORREIO DINAMICO,ALVORADA,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,3.93,2.9,77.41,9.77,5.67,2.15,7.32,0.43,8.77,6.39,600.48,194977.0,11092.0,0.563,0.564,0.874,0.694,0.699
id2463,Jornal,A SEMANA,ALVORADA,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,3.93,2.9,77.41,9.77,5.67,2.15,7.32,0.43,8.77,6.39,600.48,194977.0,11092.0,0.563,0.564,0.874,0.694,0.699
id2464,Jornal,A FOLHA,ALVORADA,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,3.93,2.9,77.41,9.77,5.67,2.15,7.32,0.43,8.77,6.39,600.48,194977.0,11092.0,0.563,0.564,0.874,0.694,0.699
id2465,Jornal,IDEIAS & AÇOES SUSTENTAVEIS (EX- NOSSO JORNAL),ALVORADA,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,3.93,2.9,77.41,9.77,5.67,2.15,7.32,0.43,8.77,6.39,600.48,194977.0,11092.0,0.563,0.564,0.874,0.694,0.699
id5153,Jornal,JORNAL CORREIO DINÂMICO,ALVORADA,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs,3.93,2.9,77.41,9.77,5.67,2.15,7.32,0.43,8.77,6.39,600.48,194977.0,11092.0,0.563,0.564,0.874,0.694,0.699
id5154,Jornal,JORNAL A SEMANA,ALVORADA,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs,3.93,2.9,77.41,9.77,5.67,2.15,7.32,0.43,8.77,6.39,600.48,194977.0,11092.0,0.563,0.564,0.874,0.694,0.699
id5155,Jornal,JORNAL DE ALVORADA,ALVORADA,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs,3.93,2.9,77.41,9.77,5.67,2.15,7.32,0.43,8.77,6.39,600.48,194977.0,11092.0,0.563,0.564,0.874,0.694,0.699
id5156,Jornal,NOSSO JORNAL,ALVORADA,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs,3.93,2.9,77.41,9.77,5.67,2.15,7.32,0.43,8.77,6.39,600.48,194977.0,11092.0,0.563,0.564,0.874,0.694,0.699
id3224,Online,TECNOBLOG,AMERICANA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,2.74,15.4,77.55,10.77,8.73,0.32,1.39,0.47,10.39,7.32,1161.68,209811.0,18388.0,0.651,0.76,0.876,0.8,0.811
id3225,Online,O LIBERAL,AMERICANA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,2.74,15.4,77.55,10.77,8.73,0.32,1.39,0.47,10.39,7.32,1161.68,209811.0,18388.0,0.651,0.76,0.876,0.8,0.811
