codmun,cidade,uf,regiao,pop_dou_2017
1503101,GURUPÁ,PA,Norte,32458
1503200,IGARAPÉ-AÇU,PA,Norte,37753
1503309,IGARAPÉ-MIRI,PA,Norte,60994
1503408,INHANGAPI,PA,Norte,11388
1503507,IRITUIA,PA,Norte,31673
1503705,ITUPIRANGA,PA,Norte,51835
1503754,JACAREACANGA,PA,Norte,8059
1503804,JACUNDÁ,PA,Norte,57526
1503903,JURUTI,PA,Norte,56325
1504000,LIMOEIRO DO AJURU,PA,Norte,28138
1504109,MAGALHÃES BARATA,PA,Norte,8316
1504406,MARAPANIM,PA,Norte,27569
1504422,MARITUBA,PA,Norte,127858
1504455,MEDICILÂNDIA,PA,Norte,30726
1504505,MELGAÇO,PA,Norte,26897
1504703,MOJU,PA,Norte,79825
1504752,MOJUÍ DOS CAMPOS,PA,Norte,15646
1504950,NOVA ESPERANÇA DO PIRIÁ,PA,Norte,20789
1504976,NOVA IPIXUNA,PA,Norte,16221
1505007,NOVA TIMBOTEUA,PA,Norte,14942
1505031,NOVO PROGRESSO,PA,Norte,25071
1505205,OEIRAS DO PARÁ,PA,Norte,31619
1505437,OURILÂNDIA DO NORTE,PA,Norte,31921
1505486,PACAJÁ,PA,Norte,46383
1505494,PALESTINA DO PARÁ,PA,Norte,7386
1505551,PAU D'ARCO,PA,Norte,5341
1505601,PEIXE-BOI,PA,Norte,7860
1505635,PIÇARRA,PA,Norte,12632
1505650,PLACAS,PA,Norte,30109
1505908,PORTO DE MOZ,PA,Norte,39991
1506005,PRAINHA,PA,Norte,29067
1506112,QUATIPURU,PA,Norte,13237
1506195,RURÓPOLIS,PA,Norte,49093
1506203,SALINÓPOLIS,PA,Norte,39569
1506302,SALVATERRA,PA,Norte,23096
1506351,SANTA BÁRBARA DO PARÁ,PA,Norte,20492
1506401,SANTA CRUZ DO ARARI,PA,Norte,9845
1506500,SANTA IZABEL DO PARÁ,PA,Norte,68836
1506559,SANTA LUZIA DO PARÁ,PA,Norte,19316
1506583,SANTA MARIA DAS BARREIRAS,PA,Norte,20849
1506906,SANTARÉM NOVO,PA,Norte,6526
1507003,SANTO ANTÔNIO DO TAUÁ,PA,Norte,30611
1507102,SÃO CAETANO DE ODIVELAS,PA,Norte,17563
1507151,SÃO DOMINGOS DO ARAGUAIA,PA,Norte,24859
1507201,SÃO DOMINGOS DO CAPIM,PA,Norte,31123
1507409,SÃO FRANCISCO DO PARÁ,PA,Norte,15454
1507458,SÃO GERALDO DO ARAGUAIA,PA,Norte,24188
1507466,SÃO JOÃO DA PONTA,PA,Norte,5970
1507474,SÃO JOÃO DE PIRABAS,PA,Norte,22415
1507508,SÃO JOÃO DO ARAGUAIA,PA,Norte,13616
1507755,SAPUCAIA,PA,Norte,5766
1507805,SENADOR JOSÉ PORFÍRIO,PA,Norte,11357
1507961,TERRA ALTA,PA,Norte,11399
1507979,TERRA SANTA,PA,Norte,18257
1508035,TRACUATEUA,PA,Norte,30108
1508050,TRAIRÃO,PA,Norte,18469
1508357,VITÓRIA DO XINGU,PA,Norte,14719
1600055,SERRA DO NAVIO,AP,Norte,5111
1600105,AMAPÁ,AP,Norte,8757
1600154,PEDRA BRANCA DO AMAPARI,AP,Norte,15125
1600212,CUTIAS,AP,Norte,5637
1600253,ITAUBAL,AP,Norte,5172
1600402,MAZAGÃO,AP,Norte,20387
1600535,PORTO GRANDE,AP,Norte,20611
1600550,PRACUÚBA,AP,Norte,4779
1600600,SANTANA,AP,Norte,115471
1600709,TARTARUGALZINHO,AP,Norte,16112
1600808,VITÓRIA DO JARI,AP,Norte,14991
1700251,ABREULÂNDIA,TO,Norte,2571
1700301,AGUIARNÓPOLIS,TO,Norte,6460
1700400,ALMAS,TO,Norte,7273
1700707,ALVORADA,TO,Norte,8516
1701002,ANANÁS,TO,Norte,9749
1701051,ANGICO,TO,Norte,3423
1701101,APARECIDA DO RIO NEGRO,TO,Norte,4726
1701309,ARAGOMINAS,TO,Norte,5865
1701903,ARAGUACEMA,TO,Norte,7003
1702000,ARAGUAÇU,TO,Norte,8692
1702158,ARAGUANÃ,TO,Norte,5645
1702703,AURORA DO TOCANTINS,TO,Norte,3735
1702901,AXIXÁ DO TOCANTINS,TO,Norte,9776
1703008,BABAÇULÂNDIA,TO,Norte,10752
1703057,BANDEIRANTES DO TOCANTINS,TO,Norte,3500
1703073,BARRA DO OURO,TO,Norte,4544
1703107,BARROLÂNDIA,TO,Norte,5643
1703206,BERNARDO SAYÃO,TO,Norte,4518
1703305,BOM JESUS DO TOCANTINS,TO,Norte,4700
1703602,BRASILÂNDIA DO TOCANTINS,TO,Norte,2199
1703800,BURITI DO TOCANTINS,TO,Norte,11135
1703826,CACHOEIRINHA,TO,Norte,2276
1703842,CAMPOS LINDOS,TO,Norte,9795
1703867,CARIRI DO TOCANTINS,TO,Norte,4296
1703883,CARMOLÂNDIA,TO,Norte,2555
1703891,CARRASCO BONITO,TO,Norte,4055
1703909,CASEARA,TO,Norte,5265
1704105,CENTENÁRIO,TO,Norte,2866
1704600,CHAPADA DE AREIA,TO,Norte,1407
1705102,CHAPADA DA NATIVIDADE,TO,Norte,3364
1705557,COMBINADO,TO,Norte,4874
1705607,CONCEIÇÃO DO TOCANTINS,TO,Norte,4179
1706001,COUTO MAGALHÃES,TO,Norte,5529
1706258,CRIXÁS DO TOCANTINS,TO,Norte,1708
1706506,DARCINÓPOLIS,TO,Norte,5988
1707108,DIVINÓPOLIS DO TOCANTINS,TO,Norte,6868
1707207,DOIS IRMÃOS DO TOCANTINS,TO,Norte,7286
1707306,DUERÉ,TO,Norte,4727
1707405,ESPERANTINA,TO,Norte,10793
1707553,FÁTIMA,TO,Norte,3879
1707652,FIGUEIRÓPOLIS,TO,Norte,5352
1707702,FILADÉLFIA,TO,Norte,8893
1708205,FORMOSO DO ARAGUAIA,TO,Norte,18684
1708254,FORTALEZA DO TABOCÃO,TO,Norte,2584
1708304,GOIANORTE,TO,Norte,5153
1709005,GOIATINS,TO,Norte,12973
1709807,IPUEIRAS,TO,Norte,1955
1710508,ITACAJÁ,TO,Norte,7456
1710706,ITAGUATINS,TO,Norte,5980
1710904,ITAPIRATINS,TO,Norte,3772
1711100,ITAPORÃ DO TOCANTINS,TO,Norte,2465
1711506,JAÚ DO TOCANTINS,TO,Norte,3821
1711803,JUARINA,TO,Norte,2229
