cidade,uf,regiao,veiculos,codmun,pop_dou_2017,veiculos_por_100khab
PRIMEIRO DE MAIO,PR,Sul,1,4120507,11286,8
PRINCESA ISABEL,PB,Nordeste,2,2512309,23489,8
PROPRIÁ,SE,Nordeste,1,2805703,29834,3
PUTINGA,RS,Sul,1,4315206,4159,24
PÃO DE AÇÚCAR,AL,Nordeste,2,2706406,24792,8
PÉROLA,PR,Sul,1,4118907,11101,9
PÉROLA D'OESTE,PR,Sul,1,4119004,6674,14
QUATIGUÁ,PR,Sul,1,4120705,7472,13
QUEBRANGULO,AL,Nordeste,1,2707602,11496,8
QUEDAS DO IGUAÇU,PR,Sul,2,4120903,33543,5
QUEIMADAS,BA,Nordeste,1,2925808,26552,3
QUEIMADAS,PB,Nordeste,1,2512507,44214,2
QUEIMADOS,RJ,Sudeste,2,3304144,145386,1
