cidade,uf,regiao,veiculos,codmun,pop_dou_2017,veiculos_por_100khab
MADRE DE DEUS DE MINAS,MG,Sudeste,1,3139102,5153,19
MAGALHÃES DE ALMEIDA,MA,Nordeste,1,2106300,19779,5
MAIRI,BA,Nordeste,1,2920106,19695,5
MAIRINQUE,SP,Sudeste,1,3528403,46567,2
MAJOR GERCINO,SC,Sul,1,4210209,3429,29
MAJOR VIEIRA,SC,Sul,2,4210308,8015,24
MALACACHETA,MG,Sudeste,2,3139201,19157,10
MALLET,PR,Sul,2,4113908,13738,14
MALTA,PB,Nordeste,1,2508802,5665,17
MAMANGUAPE,PB,Nordeste,2,2508901,45005,4
MAMBORÊ,PR,Sul,1,4114005,13798,7
MANACAPURU,AM,Norte,2,1302504,96460,2
MANDURI,SP,Sudeste,1,3528601,9714,10
MANGA,MG,Sudeste,2,3139300,19372,10
MANICORÉ,AM,Norte,1,1302702,54708,1
MANOEL VIANA,RS,Sul,1,4311759,7383,13
MANOEL VITORINO,BA,Nordeste,1,2920403,14251,7
MAR DE ESPANHA,MG,Sudeste,1,3139805,12743,7
MARA ROSA,GO,Centro-Oeste,1,5212808,10228,9
MARABÁ PAULISTA,SP,Sudeste,1,3528700,5611,17
MARACANÃ,PA,Norte,1,1504307,28679,3
MARACAÍ,SP,Sudeste,1,3528809,13981,7
MARACÁS,BA,Nordeste,1,2920502,23018,4
MARAGOGI,AL,Nordeste,1,2704500,32940,3
MARATAÍZES,ES,Sudeste,2,3203320,38670,5
MARCELINO RAMOS,RS,Sul,2,4311908,4941,40
MARCELÂNDIA,MT,Centro-Oeste,1,5105580,10422,9
MARECHAL DEODORO,AL,Nordeste,1,2704708,52260,1
MARIA DA FÉ,MG,Sudeste,1,3139904,14488,6
MARIALVA,PR,Sul,2,4114807,34955,5
MARIANO MORO,RS,Sul,1,4312005,2190,45
MARIBONDO,AL,Nordeste,1,2704807,13514,7
MARILAC,MG,Sudeste,1,3140100,4254,23
MARIPÁ DE MINAS,MG,Sudeste,1,3140209,2979,33
MARIZÓPOLIS,PB,Nordeste,1,2509156,6614,15
MARLIÉRIA,MG,Sudeste,1,3140308,4129,24
MARMELEIRO,PR,Sul,1,4115408,14539,6
MARTINHO CAMPOS,MG,Sudeste,1,3140506,13436,7
MARTINS,RN,Nordeste,1,2407401,8793,11
MASSAPÊ,CE,Nordeste,2,2308005,38210,5
MATA DE SÃO JOÃO,BA,Nordeste,1,2921005,46998,2
MATA GRANDE,AL,Nordeste,1,2705002,25589,3
MATA ROMA,MA,Nordeste,1,2106409,16745,5
MATARACA,PB,Nordeste,1,2509305,8466,11
MATELÂNDIA,PR,Sul,2,4115606,17640,11
MATERLÂNDIA,MG,Sudeste,1,3140605,4619,21
MATEUS LEME,MG,Sudeste,1,3140704,30678,3
MATINHA,MA,Nordeste,1,2106508,23091,4
MATINHOS,PR,Sul,1,4115705,33450,2
MATIPÓ,MG,Sudeste,1,3140902,18914,5
MATO VERDE,MG,Sudeste,2,3141009,12849,15
MATOS COSTA,SC,Sul,1,4210704,2614,38
MATOZINHOS,MG,Sudeste,1,3141108,37344,2
MATRIZ DE CAMARAGIBE,AL,Nordeste,1,2705101,25012,3
MATUTINA,MG,Sudeste,1,3141207,3846,26
MAURILÂNDIA,GO,Centro-Oeste,1,5213004,13379,7
MAUÉS,AM,Norte,2,1302900,62212,3
