id,segmento_principal,nome,cidade,regiao_metropolitana,uf,estado,regiao,pais,fonte,jornalismo
9972,Televisão,PREFEITURA MUNICIPAL DE IPIRANGA,IPIRANGA,n/d,PR,Paraná,Sul,Brasil,MCTIC,0
8991,Televisão,PREFEITURA MUNICIPAL DE IPIXUNA DO PARA,IPIXUNA DO PARÁ,n/d,PA,Pará,Norte,Brasil,MCTIC,0
7246,Televisão,PREFEITURA MUNICIPAL DE IPORA,IPORÁ,n/d,GO,Goiás,Centro-Oeste,Brasil,MCTIC,0
6673,Televisão,PREFEITURA MUNICIPAL DE IPUEIRAS,IPUEIRAS,n/d,CE,Ceará,Nordeste,Brasil,MCTIC,0
8166,Televisão,PREFEITURA MUNICIPAL DE IPUIUNA,IPUIÚNA,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
11135,Televisão,PREFEITURA MUNICIPAL DE IPUMIRIM,IPUMIRIM,n/d,SC,Santa Catarina,Sul,Brasil,MCTIC,0
10862,Televisão,PREFEITURA MUNICIPAL DE IRAI,IRAÍ,n/d,RS,Rio Grande do Sul,Sul,Brasil,MCTIC,0
7847,Televisão,PREFEITURA MUNICIPAL DE IRAI DE MINAS,IRAÍ DE MINAS,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
11362,Televisão,PREFEITURA MUNICIPAL DE IRANI,IRANI,n/d,SC,Santa Catarina,Sul,Brasil,MCTIC,0
12346,Televisão,PREFEITURA MUNICIPAL DE IRAPUA,IRAPUÃ,n/d,SP,São Paulo,Sudeste,Brasil,MCTIC,0
9725,Televisão,PREFEITURA MUNICIPAL DE IRATI,IRATI,n/d,PR,Paraná,Sul,Brasil,MCTIC,0
6577,Televisão,PREFEITURA MUNICIPAL DE IRECE,IRECÊ,n/d,BA,Bahia,Nordeste,Brasil,MCTIC,0
11271,Televisão,PREFEITURA MUNICIPAL DE ITA,ITÁ,n/d,SC,Santa Catarina,Sul,Brasil,MCTIC,0
12347,Televisão,PREFEITURA MUNICIPAL DE ITABERA,ITABERÁ,n/d,SP,São Paulo,Sudeste,Brasil,MCTIC,0
7270,Televisão,PREFEITURA MUNICIPAL DE ITABERAI,ITABERAÍ,n/d,GO,Goiás,Centro-Oeste,Brasil,MCTIC,0
8437,Televisão,PREFEITURA MUNICIPAL DE ITABIRA,ITABIRA,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
7846,Televisão,PREFEITURA MUNICIPAL DE ITABIRINHA DE MANTENA,ITABIRINHA,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
8267,Televisão,PREFEITURA MUNICIPAL DE ITABIRITO,ITABIRITO,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
8438,Televisão,PREFEITURA MUNICIPAL DE ITACARAMBI,ITACARAMBI,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
6397,Televisão,PREFEITURA MUNICIPAL DE ITAETE,ITAETÉ,n/d,BA,Bahia,Nordeste,Brasil,MCTIC,0
6573,Televisão,ITAJI PREFEITURA,ITAGI,n/d,BA,Bahia,Nordeste,Brasil,MCTIC,0
6396,Televisão,PREFEITURA MUNICIPAL DE ITAGIMIRIM,ITAGIMIRIM,n/d,BA,Bahia,Nordeste,Brasil,MCTIC,0
7845,Televisão,PREFEITURA MUNICIPAL DE ITAGUARA,ITAGUARA,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
12044,Televisão,PREFEITURA MUNICIPAL DE ITAI,ITAÍ,n/d,SP,São Paulo,Sudeste,Brasil,MCTIC,0
8556,Televisão,PREFEITURA MUNICIPAL DE ITAIPE,ITAIPÉ,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
7247,Televisão,PREFEITURA MUNICIPAL DE ITAJA,ITAJÁ,n/d,GO,Goiás,Centro-Oeste,Brasil,MCTIC,0
12112,Televisão,PREFEITURA MUNICIPAL DE ITAJOBI,ITAJOBI,n/d,SP,São Paulo,Sudeste,Brasil,MCTIC,0
11817,Televisão,PREFEITURA MUNICIPAL DE ITAJU,ITAJU,n/d,SP,São Paulo,Sudeste,Brasil,MCTIC,0
6395,Televisão,PREFEITURA MUNICIPAL DE ITAJU DO COLONIA,ITAJU DO COLÔNIA,n/d,BA,Bahia,Nordeste,Brasil,MCTIC,0
8439,Televisão,PREFEITURA MUNICIPAL DE ITAMARANDIBA,ITAMARANDIBA,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
8440,Televisão,PREFEITURA MUNICIPAL DE ITAMARATI DE MINAS,ITAMARATI DE MINAS,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
6394,Televisão,PREFEITURA MUNICIPAL DE ITAMARI,ITAMARI,n/d,BA,Bahia,Nordeste,Brasil,MCTIC,0
8268,Televisão,PREFEITURA MUNICIPAL DE ITAMBACURI,ITAMBACURI,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
